app_id,name,developer,publisher,developer_title_count,composite_score,tier,recognition_pct,headroom_pct,fit_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,metacritic_score,has_controller_support,is_indie,is_self_published,has_coop,has_multiplayer,release_year,genres,tags,screen_review_total_ge_5000,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_is_indie_and_dev_title_count_le_10,screen_controller_support,screen_gamepass_availability
1164940,Trepang2,Trepang Studios,Team17,1,0.6624,Anchor,0.6364,0.7832,0.3094,10374,0.9371,Very Positive,"200,000 .. 500,000",350000.0,14.99,79,True,True,False,False,False,2023,Action|Indie,Action|Atmospheric|Blood|Boomer Shooter|Bullet Time|Combat|Destruction|Difficult|FPS|Fast-Paced|First-Person|Gore|Horror|Indie|Psychological Horror,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
2075070,KinitoPET,troy_en,troy_en,1,0.6615,Low-cost option,0.6066,0.7675,0.5122,9756,0.931,Very Positive,"200,000 .. 500,000",350000.0,5.99,,False,True,True,False,False,2024,Casual|Indie|Simulation,1990's|2D|3D|Artificial Intelligence|Casual|Conversation|Horror|Immersive Sim|Indie|Linear|Multiple Endings|Narration|Pixel Graphics|Psychological|Psychological Horror,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1989270,Slay the Princess,Black Tabby Games,"Black Tabby Games, Serenity Forge",3,0.6603,Anchor,0.8322,0.5734,0.1486,15240,0.9744,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,17.99,90,True,True,False,False,False,2023,Adventure|Indie|RPG|Simulation,Adventure|CRPG|Choices Matter|Choose Your Own Adventure|Comic Book|Dark Humor|Dating Sim|First-Person|Horror|Interactive Fiction|Lore-Rich|Point & Click|Psychological Horror|RPG|Romance,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
451340,Gold Mining Simulator,Code Horizon,"Code Horizon, PlayWay S.A.",2,0.6596,Anchor,0.8147,0.5367,0.3759,14383,0.7169,Mostly Positive,"500,000 .. 1,000,000",750000.0,19.99,,True,True,False,False,False,2017,Indie|Simulation,Adventure|Automobile Sim|Building|Casual|Difficult|Driving|Economy|Exploration|First-Person|Funny|Indie|Management|Mining|Open World|Realistic,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
473690,Absolver,Sloclap,Devolver Digital,2,0.6596,Anchor,0.8129,0.535,0.3916,14295,0.7212,Mostly Positive,"500,000 .. 1,000,000",750000.0,5.99,75,True,True,False,True,True,2017,Action|Adventure|Indie,Action|Adventure|Atmospheric|Character Customization|Co-op|Difficult|Fighting|Indie|MMORPG|Martial Arts|Massively Multiplayer|Multiplayer|Online Co-Op|Open World|PvE,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
206190,Gunpoint,Suspicious Developments,Suspicious Developments,4,0.6582,Anchor,0.7675,0.4545,0.9266,12952,0.9753,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,9.99,83,False,True,True,False,False,2013,Action|Indie|Strategy,2D|Action|Adventure|Comedy|Funny|GameMaker|Great Soundtrack|Hacking|Indie|Level Editor|Noir|Pixel Graphics|Platformer|Puzzle|Sci-fi,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
248390,Craft The World,Dekovir Entertainment,Black Maple Games,1,0.6573,Anchor,0.8287,0.5717,0.1434,15206,0.8852,Very Positive,"500,000 .. 1,000,000",750000.0,18.99,,False,True,False,True,True,2014,Indie|RPG|Simulation|Strategy,2D|Adventure|Building|City Builder|Colony Sim|Crafting|Dwarf|Fantasy|God Game|Indie|Multiplayer|Open World|RPG|Resource Management|Sandbox,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1216710,Cyber Manhunt,Aluba Studio,Aluba Studio,3,0.6549,Anchor,0.8024,0.5192,0.4598,14120,0.9362,Very Positive,"500,000 .. 1,000,000",750000.0,9.99,,False,True,True,False,False,2021,Indie|RPG|Simulation,2D|Atmospheric|Casual|Crime|Cyberpunk|Detective|Early Access|Hacking|Immersive Sim|Indie|Investigation|Linear|Mystery|Psychological Horror|Puzzle,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
765410,Bean Battles,Gupa Games,Gupa Games,1,0.6521,Low-cost option,0.5962,0.7587,0.5052,9610,0.9389,Very Positive,"200,000 .. 500,000",350000.0,0.99,,False,True,True,False,True,2018,Action|Indie,Action|Atmospheric|Battle Royale|Dating Sim|Difficult|Epic|FPS|Family Friendly|Funny|God Game|Great Soundtrack|Horror|Indie|Memes|Multiplayer,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
753420,Dungreed,TEAM HORAY,TEAM HORAY,1,0.6517,Low-cost option,0.5472,0.7255,0.8794,8965,0.9327,Very Positive,"200,000 .. 500,000",350000.0,9.99,,True,True,True,False,False,2018,Action|Indie,2D|Action|Action Roguelike|Adventure|Bullet Hell|Difficult|Dungeon Crawler|Great Soundtrack|Indie|Local Co-Op|Loot|Metroidvania|Multiplayer|Pixel Graphics|Platformer,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
