app_id,name,developer,publisher,composite_score,tier,recognition_pct,headroom_pct,fit_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,metacritic_score,has_controller_support,is_indie,has_coop,has_multiplayer,release_year,genres,tags,screen_review_total_ge_5000,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_has_controller_support,screen_gamepass_availability
2221490,Tom Clancy’s The Division® 2,Ubisoft,Ubisoft,0.7112,Depth,0.8776,0.7064,0.3454,18105,0.7411,Mostly Positive,"500,000 .. 1,000,000",750000.0,39.99,,True,False,True,True,2023,Action|Adventure|RPG,Action|Adventure|Character Customization|Co-op|Loot|Looter Shooter|Massively Multiplayer|Military|Multiplayer|Online Co-Op|Open World|Post-apocalyptic|PvE|PvP|RPG,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
2369390,Far Cry® 6,"Ubisoft Toronto, Ubisoft Montreal, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Berlin",Ubisoft,0.7111,Anchor,0.9262,0.7943,0.0816,22628,0.7158,Mostly Positive,"500,000 .. 1,000,000",750000.0,59.99,,True,False,True,True,2023,Action|Adventure,3D|Action|Action-Adventure|Adventure|Atmospheric|Co-op|Combat|Crafting|Exploration|FPS|Female Protagonist|First-Person|Modern|Multiplayer|Online Co-Op,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1432860,Sun Haven,Pixel Sprout Studios,Pixel Sprout Studios,0.7108,Depth,0.9042,0.7488,0.2088,19709,0.8566,Very Positive,"500,000 .. 1,000,000",750000.0,12.49,,True,True,True,True,2023,Adventure|Casual|Indie|RPG|Simulation,Adventure|Agriculture|Character Customization|Combat|Cooking|Crafting|Dating Sim|Exploration|Fantasy|Farming Sim|Fishing|Life Sim|Magic|Mining|Multiplayer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1062520,Dinkum,James Bendon,James Bendon,0.7106,Anchor,0.9168,0.7708,0.1413,21010,0.9412,Very Positive,"500,000 .. 1,000,000",750000.0,19.99,,True,True,True,True,2022,Early Access|Indie|RPG|Simulation,Adventure|Agriculture|Building|Character Customization|Co-op|Crafting|Cute|Early Access|Exploration|Farming Sim|Fishing|Hunting|Life Sim|Mining|Online Co-Op,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
861540,Dicey Dungeons,Terry Cavanagh,Terry Cavanagh,0.71,Anchor,0.6217,0.8006,0.7504,10685,0.8954,Very Positive,"200,000 .. 500,000",350000.0,14.99,80,True,True,False,False,2019,Indie|Strategy,Card Battler|Card Game|Cartoon|Casual|Colorful|Cute|Deckbuilding|Dungeon Crawler|Great Soundtrack|Indie|Mouse only|Procedural Generation|RPG|Replay Value|Roguelike,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
212480,Sonic & All-Stars Racing Transformed Collection,Sumo Digital,SEGA,0.7087,Depth,0.8399,0.6436,0.5275,16605,0.9372,Very Positive,"500,000 .. 1,000,000",750000.0,19.99,,True,False,False,True,2013,Racing|Sports,4 Player Local|Action|Adventure|Arcade|Co-op|Colorful|Controller|Family Friendly|Fast-Paced|Great Soundtrack|Local Co-Op|Local Multiplayer|Multiplayer|Online Co-Op|Racing,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
237990,The Banner Saga,Stoic,Stoic Studio,0.7082,Anchor,0.8085,0.5777,0.7111,15294,0.8898,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,80,True,True,False,False,2014,Indie|RPG|Strategy,2D|Adventure|Atmospheric|Choices Matter|Crowdfunded|Fantasy|Great Soundtrack|Hand-drawn|Indie|Kickstarter|RPG|Singleplayer|Story Rich|Strategy|Strategy RPG,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1574580,Strange Horticulture,Bad Viking,Iceberg Interactive,0.7072,Anchor,0.6609,0.8273,0.6013,11234,0.9515,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,15.99,83,True,True,False,False,2022,Adventure|Indie|Simulation,2D|Adventure|Alternate History|Atmospheric|Choices Matter|Colorful|Conversation|Dark|Detective|Exploration|Investigation|Lovecraftian|Multiple Endings|Mystery|Nature,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
655500,MX Bikes,PiBoSo,PiBoSo,0.7049,Anchor,0.9278,0.7959,0.044,22682,0.9394,Very Positive,"500,000 .. 1,000,000",750000.0,34.99,,True,False,False,True,2019,Early Access|Racing|Simulation|Sports,3D|Automobile Sim|Bikes|Controller|Difficult|Early Access|First-Person|Immersive Sim|Moddable|Motocross|Motorbike|Multiplayer|Offroad|Physics|Racing,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
383270,Hue,Fiddlesticks Games,Curve Games,0.7035,Anchor,0.5699,0.7724,0.8838,9845,0.9259,Very Positive,"200,000 .. 500,000",350000.0,14.99,79,True,True,False,False,2016,Adventure|Indie,2D|2D Platformer|Adventure|Casual|Colorful|Great Soundtrack|Indie|Metroidvania|Narration|Platformer|Puzzle|Puzzle Platformer|Side Scroller|Singleplayer|Story Rich,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
2000950,Call of Duty®: Modern Warfare®,"Infinity Ward, Beenox, High Moon Studios, Raven Software",Activision,0.7029,Depth,0.8619,0.6813,0.383,17530,0.7845,Mostly Positive,"500,000 .. 1,000,000",750000.0,59.99,,True,False,True,True,2023,Action,Action|Battle Royale|Co-op|FPS|First-Person|Gore|Gun Customization|Military|Modern|Multiplayer|Online Co-Op|PvP|Realistic|Shooter|Singleplayer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
702670,Donut County,Ben Esposito,Annapurna Interactive,0.7026,Anchor,0.5589,0.7677,0.9121,9707,0.9161,Very Positive,"200,000 .. 500,000",350000.0,12.99,77,True,True,False,False,2018,Adventure|Casual|Indie,3D|Adventure|Casual|Comedy|Cute|Drama|Family Friendly|Female Protagonist|Funny|Great Soundtrack|Indie|Interactive Fiction|Music|Physics|Puzzle,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1766740,Choo-Choo Charles,Two Star Games,Two Star Games,0.7018,Depth,0.7865,0.9294,0.113,14696,0.9142,Very Positive,"200,000 .. 500,000",350000.0,19.99,,True,True,False,False,2022,Action|Adventure|Indie,3D|Action|Action-Adventure|Adventure|Atmospheric|Choices Matter|Co-op|Dark|FPS|First-Person|Hand-drawn|Horror|Indie|Open World|Psychological Horror,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1490890,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,CyberConnect2,SEGA,0.7017,Depth,0.887,0.7174,0.2575,18429,0.8748,Very Positive,"500,000 .. 1,000,000",750000.0,59.99,,True,False,False,True,2021,Action|Adventure,2D Fighter|3D|3D Fighter|Action|Action-Adventure|Adventure|Anime|Cartoon|Cinematic|Colorful|Combat|Comic Book|Controller|Demons|Drama,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
2248760,Car For Sale Simulator 2023,Red Axe Games,Red Axe Games,0.6999,Depth,0.7881,0.9309,0.0973,14710,0.862,Very Positive,"200,000 .. 500,000",350000.0,17.99,,True,True,True,True,2023,Early Access|Indie|Simulation,3D|America|Automobile Sim|Cinematic|Conversation|Driving|Early Access|FPS|Family Friendly|First-Person|Immersive Sim|Inventory Management|Life Sim|Modern|Multiplayer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
429050,Feed and Grow: Fish,Old B1ood,Greens s.r.o.,0.6968,Depth,0.8493,0.6656,0.4082,17217,0.7749,Mostly Positive,"500,000 .. 1,000,000",750000.0,14.99,,True,True,False,True,2016,Action|Early Access|Indie|Simulation,Action|Adventure|Atmospheric|Co-op|Colorful|Cute|Early Access|Fishing|Funny|Great Soundtrack|Indie|Multiplayer|Open World|Realistic|Sandbox,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
498240,Batman - The Telltale Series,Telltale,Telltale,0.6967,Depth,0.7975,0.562,0.7057,15127,0.8608,Very Positive,"500,000 .. 1,000,000",750000.0,14.99,,True,False,False,False,2016,Adventure,Action|Adventure|Atmospheric|Choices Matter|Choose Your Own Adventure|Comic Book|Dark|Detective|Episodic|Gore|Hidden Object|Mature|Noir|Point & Click|Quick-Time Events,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
895870,Project Wingman,Sector D2,"Sector D2, Humble Games",0.696,Anchor,0.8587,0.6719,0.3721,17348,0.9341,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,75,True,True,False,False,2020,Action|Indie|Simulation,Action|Arcade|Controller|Epic|First-Person|Flight|Great Soundtrack|Indie|Jet|Military|Multiplayer|Realistic|Sci-fi|Shooter|Simulation,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
641320,Cooking Simulator,Big Cheese Studio,"Big Cheese Studio, PlayWay S.A.",0.6942,Anchor,0.8728,0.697,0.2873,17920,0.847,Very Positive,"500,000 .. 1,000,000",750000.0,19.99,64,True,False,False,False,2019,Simulation,Action|Co-op|Comedy|Cooking|Crafting|Economy|Family Friendly|Female Protagonist|First-Person|Funny|Management|Memes|Physics|Realistic|Relaxing,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1085510,Garfield Kart - Furious Racing,Artefacts Studio,Microids,0.6906,Depth,0.7661,0.5055,0.8446,14073,0.8785,Very Positive,"500,000 .. 1,000,000",750000.0,14.99,,True,False,False,True,2019,Racing,Action|Arcade|Capitalism|Cartoony|Casual|Cats|Classic|Comedy|Competitive|Cult Classic|Cute|Family Friendly|Funny|Great Soundtrack|Local Multiplayer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
536220,The Walking Dead: A New Frontier,Telltale Games,Skybound Games,0.6874,Anchor,0.825,0.6154,0.5039,15929,0.8238,Very Positive,"500,000 .. 1,000,000",750000.0,14.99,81,True,False,False,False,2016,Adventure,Action|Adventure|Atmospheric|Casual|Choices Matter|Choose Your Own Adventure|Comic Book|Drama|Episodic|Female Protagonist|Gore|Horror|Point & Click|Post-apocalyptic|Singleplayer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
