app_id,name,developer,publisher,composite_score,tier,proven_pct,scarcity_pct,fit_pct,cheap_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,is_indie,has_coop,has_multiplayer,has_singleplayer,release_year,genres,tags,screen_review_total_ge_50,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_gamepass_availability
1101930,Monsters of Little Haven,Nikita Kaf,Missing Calm,0.7703,Low-cost option,0.5875,0.7921,0.8546,0.8471,367,0.8801,Very Positive,"0 .. 20,000",10000.0,2.99,True,False,False,True,2019,Adventure|Indie,Adventure|Atmospheric|Casual|Choices Matter|Cinematic|Dark|Drama|Emotional|Hand-drawn|Horror|Indie|Interactive Fiction|Multiple Endings|Narration|Nonlinear,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
777200,KOEWOTAYORINI SP / 声之寄托SP,あみそ組,"Pujia8 Studio, Gamera Game",0.77,Low-cost option,0.4771,0.7921,0.9117,0.8992,225,0.9467,Very Positive,"0 .. 20,000",10000.0,1.99,True,False,False,True,2018,Adventure|Indie|RPG,Adventure|Anime|Atmospheric|Dark|Dark Comedy|Funny|Gore|Horror|Indie|Memes|Multiple Endings|Mystery|Psychological Horror|Puzzle|RPG,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
3144640,Skoof Simulator,PropilGames,"PropilGames, VD Games",0.7693,Low-cost option,0.5835,0.7921,0.7101,0.9914,360,0.8444,Very Positive,"0 .. 20,000",10000.0,0.59,True,False,False,True,2024,Action|Adventure|Casual|Indie|RPG|Simulation,Action|Adventure|Choose Your Own Adventure|Combat|Cute|Dark Humor|Exploration|First-Person|Funny|Indie|Life Sim|Memes|Multiple Endings|RPG|Relaxing,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1587090,The Journey - Episode 1: Whatever This Is,Randumb Studios,Randumb Studios,0.7658,Low-cost option,0.5334,0.7921,0.8384,0.8992,285,0.9789,Very Positive,"0 .. 20,000",10000.0,1.99,False,False,False,True,2021,Adventure|Casual|Simulation,Adventure|Anime|Atmospheric|Casual|Choices Matter|Choose Your Own Adventure|Education|Emotional|Fantasy|Immersive Sim|Life Sim|Lore-Rich|Multiple Endings|Philosophical|Psychological,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1273440,OverDrift Festival,OverDrift Crew,OverDrift Crew,0.7658,Anchor,0.785,0.7921,0.848,0.6381,1090,0.8073,Very Positive,"0 .. 20,000",10000.0,6.29,False,False,True,True,2022,Massively Multiplayer|Racing|Simulation|Sports,3D|6DOF|Action|Automobile Sim|Choose Your Own Adventure|Co-op|Driving|Indie|Massively Multiplayer|Multiplayer|Online Co-Op|Open World|Physics|PvP|Racing,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
629000,Lydia,Platonic Partnership,"Platonic Partnership, Nakana.io",0.7652,Low-cost option,0.6823,0.7921,0.7872,0.7993,577,0.8891,Very Positive,"0 .. 20,000",10000.0,3.99,False,False,False,True,2017,Adventure,2D|Adventure|Atmospheric|Dark|Emotional|Female Protagonist|Great Soundtrack|Hand-drawn|Horror|Indie|Mature|Mystery|Point & Click|Psychological|Psychological Horror,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
472870,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,07th Expansion,MangaGamer,0.7649,Low-cost option,0.7497,0.7921,0.7187,0.7993,850,0.98,Overwhelmingly Positive,"0 .. 20,000",10000.0,3.99,False,False,False,True,2016,Adventure,2D|Adventure|Anime|Atmospheric|Classic|Cult Classic|Cute|Dark|Gore|Great Soundtrack|Indie|Linear|Mystery|Psychological|Singleplayer,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1577250,The Chant,Brass Token,Prime Matter,0.7649,Low-cost option,0.7479,0.7921,0.7947,0.7249,843,0.7972,Mostly Positive,"0 .. 20,000",10000.0,4.99,False,False,False,True,2022,Action|Adventure,3D|Action|Action-Adventure|Adventure|Atmospheric|Drama|Emotional|Exploration|Female Protagonist|Horror|Mystery|Open World|Psychological Horror|PvE|Realistic,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1585440,They Always Run,Alawar,Alawar,0.7649,Low-cost option,0.7362,0.7921,0.7087,0.8225,789,0.8124,Very Positive,"0 .. 20,000",10000.0,3.29,False,False,False,True,2021,Action|Adventure,2D|2D Platformer|Action|Action-Adventure|Adventure|Atmospheric|Combat|Crime|Fast-Paced|Hack and Slash|Hand-drawn|Indie|Ninja|Platformer|Sci-fi,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1640720,WTF Is Wrong With You?,Randumb Studios,Randumb Studios,0.7639,Low-cost option,0.5771,0.7921,0.7871,0.8992,349,0.9341,Very Positive,"0 .. 20,000",10000.0,1.99,False,False,False,True,2021,Adventure|Casual|Simulation,Artificial Intelligence|Choices Matter|Choose Your Own Adventure|Comedy|Dark Comedy|Dark Humor|Education|Funny|Immersive Sim|Interactive Fiction|LGBTQ+|Life Sim|Memes|Multiple Endings|Parody,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
