1710,Arx Fatalis Demo,2007-04-04,demo,true,Arkane Studios,Arkane Studios,0.0,0,20000,1,1,1;;;
1840,Source Filmmaker,2012-07-10,game,true,Valve,Valve,0.0,1000000,2000000,1114,2,1;;;
"1900,Earth 2160,2006-04-01,game,false,Reality Pump Studios,""Topware Interactive, ACE"",9.99,200000,500000,8,1,8";;;
1930,Two Worlds Epic Edition,2009-04-30,game,false,Reality Pump Studios,Topware Interactive,14.99,1000000,2000000,26,1,8;;;
2100,Dark Messiah of Might & Magic,2006-10-25,game,false,Arkane Studios,Ubisoft,9.99,1000000,2000000,36,2,5;;;
2120,Dark Messiah Singleplayer Demo,2006-09-07,demo,true,Arkane Studios,Ubisoft,0.0,0,20000,1,2,12;;;
2200,Quake III Arena,2007-08-03,game,false,id Software,id Software,14.99,500000,1000000,27,1,1;;;
"2210,Quake 4,2011-08-04,game,false,""RavenSoft, id Software"",Bethesda Softworks,14.99,200000,500000,16,1,1";;;
2270,Wolfenstein 3D,2007-08-03,game,false,id Software,Bethesda Softworks,4.99,500000,1000000,15,1,1;;;
"2310,Quake,2007-08-03,game,false,""id Software, Nightdive Studios, MachineGames"",Bethesda Softworks,9.99,2000000,5000000,79,1,6";;;
"2320,Quake II,2007-08-03,game,false,""id Software, Nightdive Studios, MachineGames"",Bethesda Softworks,9.99,1000000,2000000,106,1,6";;;
2360,Hexen: Beyond Heretic,2007-08-03,game,false,Raven Software,id Software,4.99,200000,500000,5,1,1;;;
2370,Hexen: Deathkings of the Dark Citadel,2007-08-03,game,false,Raven Software,id Software,4.99,200000,500000,1,1,1;;;
2390,Heretic: Shadow of the Serpent Riders,2007-08-03,game,false,Raven Software,id Software,4.99,100000,200000,4,1,1;;;
2400,The Ship: Murder Party,2006-07-11,game,false,Outerlight Ltd.,Blazing Griffin,9.99,1000000,2000000,2,3,8;;;
2420,The Ship: Single Player,2006-11-20,game,false,Outerlight Ltd.,Blazing Griffin Ltd.,9.99,200000,500000,0,3,8;;;
2450,Bloody Good Time,2010-10-29,game,false,Outerlight Ltd.,Ubisoft,4.99,100000,200000,4,1,1;;;
2500,Shadowgrounds,2006-05-08,game,false,Frozenbyte,Frozenbyte,1.04,200000,500000,3,1,1;;;
2510,Shadowgrounds Demo,2006-05-01,demo,true,Frozenbyte,Frozenbyte,0.0,0,20000,1,1,1;;;
"2520,Gumboy - Crazy Adventures™,2006-12-19,game,false,""CINEMAX, s.r.o."",""CINEMAX, s.r.o."",4.99,50000,100000,0,2,3";;;
2540,RIP - Trilogy™,2007-06-01,game,false,Elephant Games,Dreamatrix,4.99,100000,200000,0,2,1;;;
2590,Alpha Prime,2007-11-07,game,false,Black Element,Bohemia Interactive,4.99,200000,500000,0,1,1;;;
2600,Vampire: The Masquerade - Bloodlines,,game,false,Troika Games,Activision,19.99,200000,500000,87,1,3;;;
2610,GUN™,2006-10-13,game,false,Neversoft,Activision,19.99,200000,500000,6,1,1;;;
2620,Call of Duty® (2003),2006-10-13,game,false,Infinity Ward,Activision,19.99,500000,1000000,46,1,2;;;
2630,Call of Duty® 2,2006-10-13,game,false,Infinity Ward,Activision,19.99,5000000,10000000,211,1,5;;;
2640,Call of Duty: United Offensive,2006-10-13,game,false,Gray Matter Studios,Activision,19.99,200000,500000,48,1,3;;;
"2700,RollerCoaster Tycoon® 3: Platinum,2008-03-12,game,false,""Frontier, Aspyr (Mac)"",""Frontier, Aspyr (Mac)"",0.0,500000,1000000,58,2,10";;;
2710,Act of War: Direct Action,2008-03-12,game,false,Eugen Systems,THQ Nordic,2.99,100000,200000,7,1,1;;;
2720,ThreadSpace: Hyperbol,2007-07-12,game,false,Iocaine Studios,2K,4.99,0,20000,1,3,1;;;
