app_id,review_score,total,total_bucket,total_bucket_range
1616820,0,0,1,0 - 10
1616870,6,16,2,10 - 50
1617010,7,14,2,10 - 50
1617020,5,17,2,10 - 50
1617030,8,339,4,100 - 500
1617050,0,0,1,0 - 10
1617080,0,0,1,0 - 10
1617090,0,8,1,0 - 10
1617120,0,0,1,0 - 10
1617140,0,0,1,0 - 10
1617160,0,9,1,0 - 10
1617190,8,187,4,100 - 500
1617200,0,2,1,0 - 10
1617220,8,186,4,100 - 500
1617230,0,0,1,0 - 10
1617250,0,0,1,0 - 10
1617270,8,93,3,50 - 100
1617280,7,23,2,10 - 50
1617360,6,10,2,10 - 50
1617370,7,11,2,10 - 50
1617390,5,21,2,10 - 50
1617420,5,56,3,50 - 100
1617430,8,497,4,100 - 500
1617450,8,50,3,50 - 100
1617480,6,146,4,100 - 500
1617490,0,5,1,0 - 10
1617510,0,1,1,0 - 10
1617560,0,1,1,0 - 10
1617570,0,1,1,0 - 10
1617580,8,56,3,50 - 100
1617590,0,1,1,0 - 10
1617600,0,1,1,0 - 10
1617610,0,3,1,0 - 10
1617620,0,0,1,0 - 10
1617680,0,0,1,0 - 10
1617700,0,0,1,0 - 10
1617710,0,0,1,0 - 10
1617760,0,0,1,0 - 10
1617770,0,7,1,0 - 10
1617780,0,2,1,0 - 10
1617790,7,33,2,10 - 50
1617800,6,10,2,10 - 50
1617810,0,0,1,0 - 10
1617840,0,0,1,0 - 10
1617880,0,2,1,0 - 10
1617890,0,8,1,0 - 10
1617900,8,128,4,100 - 500
1617920,0,0,1,0 - 10
1617950,0,0,1,0 - 10
1617990,0,0,1,0 - 10
1618000,0,2,1,0 - 10
1618020,8,82,3,50 - 100
1618030,0,5,1,0 - 10
1618050,6,57,3,50 - 100
1618070,0,0,1,0 - 10
1618090,0,2,1,0 - 10
1618140,0,3,1,0 - 10
1618160,0,0,1,0 - 10
1618170,0,3,1,0 - 10
1618180,0,7,1,0 - 10
1618190,0,0,1,0 - 10
1618210,0,1,1,0 - 10
1618220,7,22,2,10 - 50
1618230,8,2491,6,"1,000 - 5,000"
1618240,6,18,2,10 - 50
1618250,0,4,1,0 - 10
1618270,0,0,1,0 - 10
1618280,4,24,2,10 - 50
1618290,8,262,4,100 - 500
1618310,5,112,4,100 - 500
1618320,0,0,1,0 - 10
1618330,7,26,2,10 - 50
1618340,0,9,1,0 - 10
1618380,8,464,4,100 - 500
1618390,0,0,1,0 - 10
1618450,7,38,2,10 - 50
1618510,0,6,1,0 - 10
1618540,6,5409,7,"5,000 - 10,000"
1618580,0,8,1,0 - 10
1618630,0,0,1,0 - 10
1618650,0,0,1,0 - 10
1618710,0,3,1,0 - 10
1618720,5,31,2,10 - 50
1618740,7,34,2,10 - 50
1618750,0,0,1,0 - 10
1618800,0,0,1,0 - 10
1618890,0,0,1,0 - 10
1618910,5,15,2,10 - 50
1619020,0,0,1,0 - 10
1619060,7,13,2,10 - 50
1619080,7,35,2,10 - 50
1619110,5,10,2,10 - 50
1619120,0,1,1,0 - 10
1619150,0,2,1,0 - 10
1619160,0,0,1,0 - 10
1619220,5,280,4,100 - 500
1619230,8,284,4,100 - 500
1619260,0,4,1,0 - 10
1619270,8,466,4,100 - 500
1619310,0,0,1,0 - 10
1619330,6,123,4,100 - 500
1619340,0,6,1,0 - 10
1619350,8,86,3,50 - 100
1619390,0,2,1,0 - 10
1619420,6,38,2,10 - 50
1619430,0,2,1,0 - 10
1619450,0,1,1,0 - 10
1619520,6,1187,6,"1,000 - 5,000"
1619540,8,166,4,100 - 500
1619550,0,1,1,0 - 10
1619560,0,0,1,0 - 10
1619570,8,639,5,"500 - 1,000"
1619580,0,0,1,0 - 10
1619590,5,19,2,10 - 50
1619620,0,0,1,0 - 10
1619660,0,0,1,0 - 10
1619720,0,0,1,0 - 10
1619750,9,3573,6,"1,000 - 5,000"
1619770,0,0,1,0 - 10
1619780,0,6,1,0 - 10
1619790,5,170,4,100 - 500
1619810,0,0,1,0 - 10
1619820,6,16,2,10 - 50
1619830,5,12,2,10 - 50
1619870,0,0,1,0 - 10
1619890,7,14,2,10 - 50
1619900,6,11,2,10 - 50
1619920,0,0,1,0 - 10
1619930,0,0,1,0 - 10
1619940,0,6,1,0 - 10
1619970,5,10,2,10 - 50
1620000,0,0,1,0 - 10
1620020,7,16,2,10 - 50
1620030,4,154,4,100 - 500
1620040,5,145,4,100 - 500
1620050,0,7,1,0 - 10
1620060,0,7,1,0 - 10
1620070,0,4,1,0 - 10
1620100,8,68,3,50 - 100
1620110,8,58,3,50 - 100
1620130,0,0,1,0 - 10
1620160,5,44,2,10 - 50
1620190,0,0,1,0 - 10
1620230,0,0,1,0 - 10
1620240,0,0,1,0 - 10
1620260,7,45,2,10 - 50
1620280,0,0,1,0 - 10
1620290,6,351,4,100 - 500
1620300,0,0,1,0 - 10
1620330,0,0,1,0 - 10
1620340,8,2298,6,"1,000 - 5,000"
1620360,0,4,1,0 - 10
1620380,5,63,3,50 - 100
1620390,7,32,2,10 - 50
1620410,6,113,4,100 - 500
1620420,0,0,1,0 - 10
1620470,0,0,1,0 - 10
1620490,0,3,1,0 - 10
1620500,0,0,1,0 - 10
1620520,8,487,4,100 - 500
1620540,8,791,5,"500 - 1,000"
1620570,0,0,1,0 - 10
1620580,7,32,2,10 - 50
1620600,0,5,1,0 - 10
1620620,0,0,1,0 - 10
1620640,7,30,2,10 - 50
1620700,0,3,1,0 - 10
1620720,8,285,4,100 - 500
1620730,0,0,1,0 - 10
