fit_rank,app_id,name,release_date,genres,top_matching_tags,price_cents,price_usd,price_band,review_score,total,owners_range,owners_mid,performance_score,profile_fit_score,priority_score,evidence_tier,in_winner_cohort,in_top50_reference,gamepass_status,gamepass_note,is_top5_pick
1,418030,Subsistence,2016-10-25,"Action, Early Access","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Building",1399,13.99,$10-14.99,6,12640,"500,000 - 1,000,000",750000,-0.5905,100.0,81.97,high,0,0,not_on_gamepass,"Subsistence - PC-only, no Xbox port found; checked 2026-08-21",1
3,526160,The Wild Eight,2019-10-03,"Action, Adventure, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Survival",2499,24.99,$20-29.99,6,7257,"200,000 - 500,000",350000,-0.9711,98.52,79.23,high,0,0,not_on_gamepass,"The Wild Eight - purchasable on Xbox store, but not in Game Pass catalogue; checked 2026-08-21",1
5,1159690,Voidtrain,2023-05-09,"Action, Adventure, Early Access, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",2999,29.99,$20-29.99,6,5053,"200,000 - 500,000",350000,-1.0987,96.43,77.52,high,0,0,on_gamepass,"Voidtrain - added to Xbox Game Pass day-one, 2025-11-07 (Pure Xbox / Xbox Wire)",0
7,393420,Hurtworld,2019-12-10,"Action, Adventure, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",2499,24.99,$20-29.99,6,31203,"500,000 - 1,000,000",750000,-0.2721,95.18,81.24,high,0,0,not_on_gamepass,Hurtworld - no Game Pass listing found; checked 2026-08-21,1
9,951440,Volcanoids,2019-01-29,"Action, Adventure, Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1999,19.99,$15-19.99,8,8503,"200,000 - 500,000",350000,-0.3473,93.89,80.2,high,0,0,not_on_gamepass,"Volcanoids - PC-only, devs have only discussed a future console port; checked 2026-08-21",1
13,250400,How to Survive,2014-08-29,"Action, Adventure, RPG","Co-op, Online Co-Op, Multiplayer, Open World, Open World Survival Craft, Survival, Local Co-Op, Crafting",1499,14.99,$10-14.99,8,16960,"1,000,000 - 2,000,000",1500000,0.2495,92.15,82.46,high,0,0,not_on_gamepass,How to Survive - no current Game Pass listing found; checked 2026-08-21,1
31,313120,Stranded Deep,2022-08-10,"Adventure, Indie","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",1999,19.99,$15-19.99,6,44648,"1,000,000 - 2,000,000",1500000,0.0225,89.4,79.9,high,0,0,unverified,,0
33,803050,Per Aspera,2020-12-03,"Indie, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Building, Survival, Base Building",2999,29.99,$20-29.99,6,5270,"200,000 - 500,000",350000,-1.0838,89.08,73.92,high,0,0,unverified,,0
34,1307550,Craftopia,2020-09-04,"Action, Adventure, Early Access, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",2499,24.99,$20-29.99,6,19231,"1,000,000 - 2,000,000",1500000,-0.2743,89.0,78.13,high,0,0,unverified,,0
35,1377380,Night of the Dead,2024-05-31,"Action, Adventure, Indie, RPG, Simulation","Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",2999,29.99,$20-29.99,6,10889,"200,000 - 500,000",350000,-0.8282,88.84,75.14,high,0,0,unverified,,0
38,366090,Colony Survival,2017-06-16,"Action, Adventure, Early Access, Indie, Strategy","Co-op, Multiplayer, Sandbox, Open World, Building, Survival, Base Building, Crafting",2495,24.95,$20-29.99,8,7809,"200,000 - 500,000",350000,-0.3773,88.72,77.45,high,0,0,unverified,,0
39,768200,Smalland: Survive the Wilds,2024-02-15,"Action, Adventure, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",3499,34.99,$30-39.99,8,7319,"200,000 - 500,000",350000,-0.4001,88.72,77.33,high,0,0,unverified,,0
47,895400,Deadside,2020-04-14,"Action, Adventure, Early Access, Indie, Massively Multiplayer","Co-op, Online Co-Op, Multiplayer, Open World, Open World Survival Craft, Massively Multiplayer, Survival, Base Building",2499,24.99,$20-29.99,6,34895,"500,000 - 1,000,000",750000,-0.2327,87.59,77.65,high,0,0,unverified,,0
49,1169040,Necesse,2019-12-12,"Action, Adventure, Early Access, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1499,14.99,$10-14.99,8,13746,"500,000 - 1,000,000",750000,0.0071,86.73,78.48,high,0,0,unverified,,0
57,736220,Squad 44,2018-08-09,"Action, Indie, Massively Multiplayer, Strategy","Co-op, Multiplayer, Open World, Massively Multiplayer, Team-Based, FPS, First-Person, War",2999,29.99,$20-29.99,6,22742,"1,000,000 - 2,000,000",1500000,-0.2152,86.14,77.02,high,0,0,unverified,,0
76,257420,Serious Sam 4,2020-09-24,"Action, Adventure, Indie","Co-op, Great Soundtrack, Multiplayer, Open World, Difficult, Gore, FPS, First-Person",3999,39.99,$30-39.99,8,15205,"1,000,000 - 2,000,000",1500000,0.211,85.04,78.71,high,0,0,unverified,,0
83,342180,Arizona Sunshine®,2016-12-06,"Action, Adventure, Indie","Co-op, Online Co-Op, Multiplayer, Open World, Survival, Gore, Survival Horror, FPS",1999,19.99,$15-19.99,6,9148,"500,000 - 1,000,000",750000,-0.7044,84.33,73.54,high,0,0,unverified,,0
90,253430,CastleMiner Z,2014-02-03,"Action, Adventure, Indie, Violent","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Survival, Crafting",599,5.99,$5-9.99,8,10517,"500,000 - 1,000,000",750000,-0.0872,83.97,76.6,high,0,0,unverified,,0
93,285920,TerraTech,2018-08-10,"Action, Indie","Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",2499,24.99,$20-29.99,8,22400,"500,000 - 1,000,000",750000,0.1791,83.72,77.88,high,0,0,unverified,,0
103,204340,Serious Sam 2,2012-01-31,"Action, Indie","Co-op, Great Soundtrack, Online Co-Op, Multiplayer, Difficult, Gore, Funny, FPS",999,9.99,$5-9.99,8,12080,"2,000,000 - 5,000,000",3500000,0.3358,83.22,78.45,high,0,0,unverified,,0
114,306020,Bloons TD 5,2014-11-19,"Action, Strategy","Co-op, Great Soundtrack, Online Co-Op, Multiplayer, Sandbox, Difficult, Survival, Replay Value",999,9.99,$5-9.99,8,11234,"500,000 - 1,000,000",750000,-0.064,82.75,76.12,high,0,0,unverified,,0
115,632300,Hobo: Tough Life,2021-04-12,"Adventure, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Survival, Base Building, Crafting",2999,29.99,$20-29.99,8,8163,"200,000 - 500,000",350000,-0.3617,82.62,74.49,high,0,0,unverified,,0
130,2071280,Ravenswatch,2024-09-26,"Action, Adventure","Co-op, Online Co-Op, Multiplayer, Difficult, Replay Value, Hack and Slash, Atmospheric, Roguelite",2499,24.99,$20-29.99,6,11195,"200,000 - 500,000",350000,-0.8184,82.0,71.77,high,0,0,unverified,,0
131,250340,Blockland,2013-12-16,"Action, Indie, Simulation","Co-op, Multiplayer, Moddable, Sandbox, Open World, Building, Funny, FPS",999,9.99,$5-9.99,6,5563,"500,000 - 1,000,000",750000,-0.8797,81.98,71.44,high,0,0,unverified,,0
133,429050,Feed and Grow: Fish,2016-01-08,"Action, Early Access, Indie, Simulation","Co-op, Great Soundtrack, Multiplayer, Sandbox, Open World, Survival, Funny, Simulation",1499,14.99,$10-14.99,6,17217,"500,000 - 1,000,000",750000,-0.4816,81.83,73.46,high,0,0,unverified,,0
140,544550,Stationeers,2017-12-12,"Action, Early Access, Indie, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",3499,34.99,$30-39.99,8,6557,"200,000 - 500,000",350000,-0.4388,81.48,73.51,high,0,0,unverified,,0
142,280790,Creativerse,2017-05-08,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1249,12.49,$10-14.99,6,31042,"1,000,000 - 2,000,000",1500000,-0.1056,81.44,75.24,high,0,0,unverified,,0
145,1127400,Mindustry,2019-09-26,Strategy,"Co-op, Online Co-Op, Multiplayer, Sandbox, Building, Survival, Base Building, Management",999,9.99,$5-9.99,9,20162,"500,000 - 1,000,000",750000,0.4261,81.4,78.02,high,0,0,unverified,,0
150,792300,The Beast Inside,2019-10-17,"Action, Adventure, Indie","Great Soundtrack, Multiplayer, Open World, Survival, Gore, Survival Horror, First-Person, Horror",2499,24.99,$20-29.99,8,10709,"500,000 - 1,000,000",750000,-0.0809,81.2,75.25,high,0,0,unverified,,0
152,706990,BLOCKPOST LEGACY,2019-04-25,"Action, Free To Play, Indie","Co-op, Online Co-Op, Multiplayer, Building, Massively Multiplayer, Survival, Gore, Funny",0,0.0,free,6,16544,"200,000 - 500,000",350000,-0.6808,81.18,72.09,high,0,0,unverified,,0
162,252610,Death Road to Canada,2016-07-21,"Action, Indie, RPG","Co-op, Great Soundtrack, Multiplayer, Difficult, Memes, Survival, Local Co-Op, Replay Value",1499,14.99,$10-14.99,8,8922,"200,000 - 500,000",350000,-0.3303,80.83,73.76,high,0,0,unverified,,0
164,518150,Intruder,2019-03-01,Early Access,"Co-op, Multiplayer, Team-Based, Funny, Competitive, FPS, First-Person, Simulation",1999,19.99,$15-19.99,8,6343,"500,000 - 1,000,000",750000,-0.2654,80.81,74.09,high,0,0,unverified,,0
167,241540,State of Decay,2013-11-05,"Action, RPG, Simulation","Co-op, Multiplayer, Sandbox, Open World, Survival, Base Building, Survival Horror, Simulation",0,0.0,free,8,17556,"500,000 - 1,000,000",750000,0.0933,80.73,75.93,high,0,0,unverified,,0
175,280160,Aragami,2016-10-04,"Action, Adventure, Indie","Co-op, Great Soundtrack, Online Co-Op, Multiplayer, Open World, Gore, Blood, Atmospheric",1999,19.99,$15-19.99,8,12519,"500,000 - 1,000,000",750000,-0.0258,80.48,75.18,high,0,0,unverified,,0
179,1307890,Kingdoms Reborn,,"Early Access, Indie, Simulation, Strategy","Co-op, Multiplayer, Open World, Building, Survival, Base Building, Colony Sim, Management",1999,19.99,$15-19.99,8,8646,"500,000 - 1,000,000",750000,-0.1562,80.33,74.42,high,0,0,unverified,,0
190,427730,Who's Your Daddy?!,2016-05-13,"Action, Casual, Indie","Co-op, Online Co-Op, Multiplayer, Sandbox, Difficult, Survival, Funny, First-Person",699,6.99,$5-9.99,6,29403,"2,000,000 - 5,000,000",3500000,0.0812,79.85,75.43,high,0,0,unverified,,0
191,933820,Endzone - A World Apart,2021-03-18,"Indie, Simulation, Strategy","Sandbox, Difficult, Building, Survival, Base Building, Colony Sim, Management, City Builder",2999,29.99,$20-29.99,6,9145,"500,000 - 1,000,000",750000,-0.7046,79.85,71.3,high,0,0,unverified,,0
196,738520,Breathedge,2021-02-25,"Action, Adventure, Indie, Simulation","Co-op, Sandbox, Open World, Open World Survival Craft, Survival, Base Building, Crafting, First-Person",2499,24.99,$20-29.99,8,14289,"500,000 - 1,000,000",750000,0.0207,79.71,75.04,high,0,0,unverified,,0
200,253250,Stonehearth,2018-07-25,"Indie, Simulation, Strategy","Multiplayer, Sandbox, Open World, Building, Survival, Crafting, Colony Sim, Management",1999,19.99,$15-19.99,6,12508,"500,000 - 1,000,000",750000,-0.5942,79.55,71.73,high,0,0,unverified,,0
203,383120,Empyrion - Galactic Survival,,"Eventyr, Indie, Simulation, Strategi","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",799,7.99,$5-9.99,6,32451,"1,000,000 - 2,000,000",1500000,-0.0899,79.37,74.29,high,0,0,unverified,,0
205,298630,The Escapists,2015-02-13,"Action, Adventure, Indie, Simulation, Strategy","Co-op, Multiplayer, Sandbox, Difficult, Survival, Crafting, Funny, Simulation",1799,17.99,$15-19.99,8,15924,"1,000,000 - 2,000,000",1500000,0.2273,79.35,75.95,high,0,0,unverified,,0
208,265210,Viscera Cleanup Detail: Santa's Rampage,2013-12-13,"Gore, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Gore, Funny, First-Person, Blood",249,2.49,$0.01-4.99,8,5660,"1,000,000 - 2,000,000",1500000,-0.1371,79.17,73.94,high,0,0,unverified,,0
209,509980,BIGFOOT,2017-01-31,"Action, Adventure, Early Access, Indie","Co-op, Online Co-Op, Multiplayer, Open World, Funny, Survival Horror, FPS, First-Person",1999,19.99,$15-19.99,8,19767,"1,000,000 - 2,000,000",1500000,0.3034,79.15,76.25,high,0,0,unverified,,0
210,252330,Slender: The Arrival,2013-10-28,"Action, Adventure, Indie","Co-op, Multiplayer, Open World, Difficult, Survival, Survival Horror, First-Person, Short",1999,19.99,$15-19.99,8,8868,"100,000 - 200,000",150000,-0.5383,79.07,71.78,high,0,0,unverified,,0
221,242860,Verdun,2015-04-28,"Action, Indie, Massively Multiplayer, Simulation, Strategy","Co-op, Multiplayer, Massively Multiplayer, Gore, Team-Based, FPS, First-Person, War",1499,14.99,$10-14.99,8,37045,"500,000 - 1,000,000",750000,0.3564,78.77,76.34,high,0,0,unverified,,0
225,512900,Streets of Rogue,2019-07-12,"Action, Adventure, Indie, RPG","Co-op, Great Soundtrack, Online Co-Op, Multiplayer, Local Co-Op, Gore, Funny, Roguelite",1999,19.99,$15-19.99,9,21224,"500,000 - 1,000,000",750000,0.4441,78.63,76.73,high,0,0,unverified,,0
226,682990,Drug Dealer Simulator,,"Action, Adventure, Indie, Simulation","Co-op, Sandbox, Open World, Crafting, Funny, First-Person, Management, Simulation",1999,19.99,$15-19.99,8,19759,"1,000,000 - 2,000,000",1500000,0.3033,78.56,75.95,high,0,0,unverified,,0
227,1029780,Going Medieval,2021-06-01,"Early Access, Indie, RPG, Simulation, Strategy","Moddable, Sandbox, Open World, Building, Survival, Base Building, Colony Sim, Management",2499,24.99,$20-29.99,8,17473,"500,000 - 1,000,000",750000,0.0916,78.53,74.82,high,0,0,unverified,,0
244,539470,Police Stories,2019-09-19,"Action, Indie, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Difficult, Gore, Simulation, Tactical, Atmospheric",1999,19.99,$15-19.99,8,8149,"200,000 - 500,000",350000,-0.3623,77.98,72.16,high,0,0,unverified,,0
245,25000,Overgrowth,2017-10-16,"Action, Indie","Multiplayer, Moddable, Sandbox, Open World, Difficult, Local Co-Op, Gore, Funny",1999,19.99,$15-19.99,8,8187,"500,000 - 1,000,000",750000,-0.1755,77.96,73.13,high,0,0,unverified,,0
253,1363430,Propagation VR,2020-09-25,Action,"Co-op, Online Co-Op, Multiplayer, Survival, Gore, Survival Horror, FPS, First-Person",0,0.0,free,8,5392,"500,000 - 1,000,000",750000,-0.3226,77.71,72.24,high,0,0,unverified,,0
254,897450,The Survivalists,2020-10-09,"Action, Adventure, Casual, Indie","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Survival, Base Building",2499,24.99,$20-29.99,6,8367,"200,000 - 500,000",350000,-0.921,77.71,69.09,high,0,0,unverified,,0
259,962730,Skater XL - The Ultimate Skateboarding Game,2020-07-28,"Action, Adventure, Indie, Simulation, Sports","Online Co-Op, Multiplayer, Moddable, Sandbox, Open World, Mod, Simulation, Physics",2999,29.99,$20-29.99,8,19260,"1,000,000 - 2,000,000",1500000,0.2943,77.62,75.43,high,0,0,unverified,,0
266,914620,Mist Survival,2018-08-14,"Action, Adventure, Early Access, Indie, Simulation","Sandbox, Open World, Open World Survival Craft, Survival, Base Building, Crafting, Gore, Survival Horror",879,8.79,$5-9.99,6,12901,"500,000 - 1,000,000",750000,-0.5833,77.36,70.69,high,0,0,unverified,,0
283,248390,Craft The World,2014-11-24,"Indie, RPG, Simulation, Strategy","Multiplayer, Sandbox, Open World, Building, Survival, Crafting, Colony Sim, City Builder",1899,18.99,$15-19.99,8,15206,"500,000 - 1,000,000",750000,0.0427,77.02,73.81,high,0,0,unverified,,0
294,674500,Total Tank Simulator,2020-05-20,"Action, Indie, Simulation, Strategy","Multiplayer, Sandbox, Difficult, Funny, FPS, First-Person, War, Simulation",1999,19.99,$15-19.99,6,7682,"500,000 - 1,000,000",750000,-0.7659,76.78,69.44,high,0,0,unverified,,0
295,209670,Cortex Command,2012-09-28,"Action, Indie, Strategy","Multiplayer, Moddable, Sandbox, Difficult, Local Co-Op, Replay Value, Local Multiplayer, 4 Player Local",1999,19.99,$15-19.99,6,5950,"1,000,000 - 2,000,000",1500000,-0.6876,76.78,69.85,high,0,0,unverified,,0
300,916840,The Walking Dead: Saints & Sinners,2020-01-23,"Action, Adventure, Indie, RPG, Simulation, Strategy","Multiplayer, Open World, Survival, Gore, Survival Horror, FPS, First-Person, Simulation",3999,39.99,$30-39.99,8,9359,"500,000 - 1,000,000",750000,-0.1284,76.69,72.75,high,0,0,unverified,,0
304,2646460,Soulmask,2024-05-30,"Adventure, Early Access, Indie, Massively Multiplayer, RPG, Simulation","Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer, Survival, Base Building",2999,29.99,$20-29.99,6,10415,"200,000 - 500,000",350000,-0.8439,76.62,68.95,high,0,0,unverified,,0
308,979110,Space Haven,2020-05-21,"Early Access, Indie, RPG, Simulation, Strategy","Sandbox, Open World, Building, Survival, Base Building, Crafting, Colony Sim, Management",2299,22.99,$20-29.99,8,8440,"200,000 - 500,000",350000,-0.3499,76.48,71.48,high,0,0,unverified,,0
314,424030,War of Rights,2018-12-03,"Action, Early Access, Indie, Simulation, Strategy","Multiplayer, Massively Multiplayer, Gore, FPS, First-Person, War, Simulation, Tactical",2999,29.99,$20-29.99,8,12172,"500,000 - 1,000,000",750000,-0.0357,76.24,73.01,high,0,0,unverified,,0
315,48720,Mount & Blade: With Fire & Sword,2011-05-03,"Action, RPG","Multiplayer, Moddable, Sandbox, Open World, First-Person, War, Simulation, Strategy",999,9.99,$5-9.99,8,13323,"1,000,000 - 2,000,000",1500000,0.1645,76.24,74.06,high,0,0,unverified,,0
328,494840,UBOAT,2024-08-02,"Action, Indie, RPG, Simulation, Strategy","Moddable, Sandbox, Open World, Survival, Replay Value, Management, War, Simulation",2999,29.99,$20-29.99,8,20688,"500,000 - 1,000,000",750000,0.1511,76.0,73.87,high,0,0,unverified,,0
334,289130,ENDLESS™ Legend,2014-09-18,"RPG, Strategy","Great Soundtrack, Multiplayer, Sandbox, Open World, Tactical, Atmospheric, Turn-Based, Strategy",2999,29.99,$20-29.99,8,18243,"1,000,000 - 2,000,000",1500000,0.2752,75.93,74.49,high,0,0,unverified,,0
340,2080690,Sunkenland,2023-08-25,"Action, Early Access, Indie","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Survival, Base Building, Crafting",1999,19.99,$15-19.99,8,19499,"500,000 - 1,000,000",750000,0.1303,75.88,73.7,high,0,0,unverified,,0
345,919640,Steel Division 2,2019-06-20,"Action, Indie, Simulation, Strategy","Co-op, Multiplayer, Moddable, Sandbox, Replay Value, War, Simulation, Tactical",3999,39.99,$30-39.99,6,8629,"500,000 - 1,000,000",750000,-0.725,75.81,69.17,high,0,0,unverified,,0
346,799600,Cosmoteer: Starship Architect & Commander,2022-10-24,"Early Access, Simulation, Strategy","Online Co-Op, Multiplayer, Difficult, Building, Survival, Simulation, Atmospheric, Strategy",1599,15.99,$15-19.99,9,9975,"500,000 - 1,000,000",750000,0.1781,75.8,73.91,high,0,0,unverified,,0
347,1360000,The Infected,2020-08-06,"Action, Casual, Early Access, Indie, Simulation","Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building, Crafting, Survival Horror",1599,15.99,$15-19.99,8,6125,"200,000 - 500,000",350000,-0.4628,75.8,70.54,high,0,0,unverified,,0
356,382310,Eco,2018-02-06,"Early Access, Indie, Simulation","Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building, Crafting",2999,29.99,$20-29.99,8,12700,"500,000 - 1,000,000",750000,-0.0208,75.68,72.81,high,0,0,unverified,,0
357,473690,Absolver,2017-08-29,"Action, Adventure, Indie","Co-op, Online Co-Op, Multiplayer, Open World, Difficult, Massively Multiplayer, Atmospheric, Fighting",599,5.99,$5-9.99,6,14295,"500,000 - 1,000,000",750000,-0.5472,75.68,70.04,high,0,0,unverified,,0
361,391730,Crashlands,2016-01-21,"Action, Adventure, Indie, RPG","Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building, Crafting",1499,14.99,$10-14.99,8,5818,"200,000 - 500,000",350000,-0.481,75.64,70.37,high,0,0,unverified,,0
372,291860,Pit People®,2018-03-02,"Action, Indie, RPG, Strategy","Co-op, Online Co-Op, Multiplayer, Open World, Memes, Local Co-Op, Funny, Comedy",1999,19.99,$15-19.99,8,7910,"500,000 - 1,000,000",750000,-0.1876,75.47,71.83,high,0,0,unverified,,0
375,403190,Planetbase,2015-10-15,"Indie, Simulation, Strategy","Sandbox, Open World, Building, Survival, Base Building, Crafting, Colony Sim, Management",749,7.49,$5-9.99,6,9540,"1,000,000 - 2,000,000",1500000,-0.5213,75.4,70.04,high,0,0,unverified,,0
379,690830,Foundation,2019-02-01,"Early Access, Indie, Simulation, Strategy","Sandbox, Open World, Building, Survival, Base Building, Colony Sim, Management, City Builder",2999,29.99,$20-29.99,8,14774,"500,000 - 1,000,000",750000,0.0325,75.32,72.91,high,0,0,unverified,,0
392,293780,Crawl,2017-04-11,"Action, Indie, RPG","Co-op, Great Soundtrack, Multiplayer, Local Co-Op, Gore, Local Multiplayer, 4 Player Local, Horror",1499,14.99,$10-14.99,8,6900,"500,000 - 1,000,000",750000,-0.2357,75.06,71.37,high,0,0,unverified,,0
394,1782380,SCP: Containment Breach Multiplayer,2021-10-25,"Free To Play, Indie, Massively Multiplayer","Co-op, Online Co-Op, Multiplayer, Massively Multiplayer, Survival, Survival Horror, FPS, First-Person",0,0.0,free,8,24497,"0 - 20,000",10000,-0.8381,75.0,68.17,high,0,0,unverified,,0
395,41000,Serious Sam HD: The First Encounter,2009-11-24,"Action, Indie","Co-op, Online Co-Op, Multiplayer, Difficult, Gore, Funny, FPS, First-Person",1499,14.99,$10-14.99,8,7782,"1,000,000 - 2,000,000",1500000,-0.025,74.98,72.44,high,0,0,unverified,,0
399,1049800,BLOCKADE,2019-05-21,"Action, Free To Play, Indie, Massively Multiplayer","Co-op, Multiplayer, Open World, Building, Massively Multiplayer, Survival, Gore, Team-Based",0,0.0,free,6,11356,"500,000 - 1,000,000",750000,-0.6283,74.92,69.23,high,0,0,unverified,,0
400,513710,SCUM,2018-08-29,"Action, Adventure, Early Access, Indie, Massively Multiplayer","Multiplayer, Open World, Open World Survival Craft, Massively Multiplayer, Survival, Crafting, Gore, FPS",3999,39.99,$30-39.99,6,106741,"5,000,000 - 10,000,000",7500000,0.7205,74.92,76.33,high,0,0,unverified,,0
405,362620,Software Inc.,2015-05-01,"Early Access, Indie, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Building, Management, Simulation",2299,22.99,$20-29.99,8,6904,"100,000 - 200,000",150000,-0.6265,74.85,69.21,high,0,0,unverified,,0
410,673750,Super Bunny Man,2023-05-16,"Action, Indie","Co-op, Online Co-Op, Multiplayer, Sandbox, Memes, Local Co-Op, Funny, Local Multiplayer",1499,14.99,$10-14.99,8,8703,"200,000 - 500,000",350000,-0.3391,74.78,70.68,high,0,0,unverified,,0
413,690530,灵魂筹码 Soul at Stake,2018-06-25,"Action, Early Access, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Survival, Gore, Team-Based, Survival Horror, Horror",1799,17.99,$15-19.99,6,8454,"500,000 - 1,000,000",750000,-0.7322,74.65,68.55,high,0,0,unverified,,0
414,386070,Planetary Annihilation: TITANS,2015-08-18,"Action, Indie, Strategy","Co-op, Online Co-Op, Multiplayer, Building, Base Building, War, Simulation, Destruction",2999,29.99,$20-29.99,8,13747,"500,000 - 1,000,000",750000,0.0071,74.65,72.44,high,0,0,unverified,,0
422,210770,Sanctum 2,2013-05-15,"Action, Indie, Strategy","Co-op, Great Soundtrack, Online Co-Op, Multiplayer, Survival, Funny, FPS, First-Person",1499,14.99,$10-14.99,8,14199,"2,000,000 - 5,000,000",3500000,0.3927,74.54,74.41,high,0,0,unverified,,0
424,345180,Victor Vran ARPG,,"Инди, Приключенческие игры, Ролевые игры, Экшены","Co-op, Online Co-Op, Multiplayer, Difficult, Local Co-Op, Hack and Slash, Dungeon Crawler, Action",1999,19.99,$15-19.99,8,6323,"500,000 - 1,000,000",750000,-0.2665,74.49,70.92,high,0,0,unverified,,0
431,1696810,Railroads Online,2021-10-01,"Early Access, Indie, Simulation","Online Co-Op, Multiplayer, Sandbox, Open World, Building, Team-Based, Colony Sim, First-Person",3499,34.99,$30-39.99,6,5157,"200,000 - 500,000",350000,-1.0915,74.34,66.51,high,0,0,unverified,,0
432,1149620,Gas Station Simulator,2021-09-15,"Indie, Simulation","Multiplayer, Open World, Building, Memes, Base Building, Crafting, Funny, First-Person",1999,19.99,$15-19.99,8,23366,"500,000 - 1,000,000",750000,0.194,74.34,73.27,high,0,0,unverified,,0
434,1211020,Wobbly Life,2020-07-08,"Action, Adventure, Casual, Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Funny, Local Multiplayer, Simulation",1799,17.99,$15-19.99,9,23104,"500,000 - 1,000,000",750000,0.4741,74.33,74.74,high,0,0,unverified,,0
436,589290,Holdfast: Nations At War,2020-03-05,"Action, Indie, Massively Multiplayer, RPG, Simulation, Strategy","Multiplayer, Moddable, Massively Multiplayer, Team-Based, FPS, First-Person, War, Simulation",1999,19.99,$15-19.99,8,24355,"500,000 - 1,000,000",750000,0.2086,74.29,73.32,high,0,0,unverified,,0
445,204880,Sins of a Solar Empire®: Rebellion,2012-06-12,"Action, Indie, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Sandbox, Base Building, Replay Value, Management, Simulation",1999,19.99,$15-19.99,8,15820,"2,000,000 - 5,000,000",3500000,0.4308,74.18,74.43,high,0,0,unverified,,0
453,616560,Ultimate Epic Battle Simulator,2017-06-01,"Action, Adventure, Indie, Simulation, Strategy","Sandbox, Open World, Memes, Survival, Gore, Funny, War, Simulation",1499,14.99,$10-14.99,6,12031,"500,000 - 1,000,000",750000,-0.6079,74.08,68.92,high,0,0,unverified,,0
462,858810,Dawn of Man,2019-03-01,"Indie, Simulation, Strategy","Multiplayer, Sandbox, Open World, Survival, Colony Sim, Management, City Builder, Simulation",1249,12.49,$10-14.99,8,16638,"1,000,000 - 2,000,000",1500000,0.2428,73.95,73.33,high,0,0,unverified,,0
468,1605220,Dune: Spice Wars,2023-09-14,Strategy,"Co-op, Multiplayer, Building, Base Building, Management, War, Simulation, Tactical",3499,34.99,$30-39.99,6,11622,"1,000,000 - 2,000,000",1500000,-0.4517,73.87,69.64,high,0,0,unverified,,0
472,355790,Styx: Shards of Darkness,2017-03-14,"Action, Adventure","Co-op, Multiplayer, Open World, Gore, Atmospheric, Violent, Dark Humor, Story Rich",1999,19.99,$15-19.99,8,5565,"500,000 - 1,000,000",750000,-0.3115,73.8,70.34,high,0,0,unverified,,0
473,1158940,Blazing Sails,2023-11-13,"Action, Adventure, Casual, Indie","Co-op, Online Co-Op, Multiplayer, Open World, Survival, Team-Based, Funny, Competitive",599,5.99,$5-9.99,8,9000,"100,000 - 200,000",150000,-0.5331,73.77,69.16,high,0,0,unverified,,0
