fit_rank,app_id,name,release_date,genres,top_matching_tags,price_cents,price_usd,price_band,review_score,total,owners_range,owners_mid,performance_score,profile_fit_score,priority_score,evidence_tier,in_winner_cohort,in_top50_reference,gamepass_status,gamepass_note,is_top5_pick
11345,699170,Fell Seal: Arbiter's Mark,2019-04-30,"Indie, RPG, Strategy","Tactical, Turn-Based, Strategy, Character Customization, Story Rich, Isometric, Singleplayer, RPG",2999,29.99,$20-29.99,8,5759,"200,000 - 500,000",350000,-0.4845,45.53,55.29,high,0,0,unverified,,0
11377,1066890,Automobilista 2,2020-06-30,"Action, Indie, Racing, Simulation, Sports","Multiplayer, Simulation, Realistic, Action, Automobile Sim, Driving, Indie",3999,39.99,$30-39.99,8,9112,"200,000 - 500,000",350000,-0.3229,45.51,56.13,high,0,0,unverified,,0
11458,1276390,Bloons TD Battles 2,2021-11-30,"Action, Casual, Free To Play, Indie, Strategy","Multiplayer, Sandbox, Difficult, Funny, Competitive, Tactical, Strategy, Free to Play",0,0.0,free,8,30836,"0 - 20,000",10000,-0.7571,45.42,53.81,high,0,0,unverified,,0
11530,1097200,Twelve Minutes,2021-08-19,"Adventure, Indie","Great Soundtrack, Gore, Atmospheric, Violent, Story Rich, Singleplayer, Adventure, Indie",2499,24.99,$20-29.99,6,7107,"500,000 - 1,000,000",750000,-0.7933,45.36,53.59,high,0,0,unverified,,0
11554,609320,FAR: Lone Sails,2018-05-17,"Action, Adventure, Indie","Survival, Short, Atmospheric, Post-apocalyptic, Story Rich, Action, Singleplayer, Adventure",1499,14.99,$10-14.99,8,19532,"500,000 - 1,000,000",750000,0.1309,45.34,58.44,high,0,0,unverified,,0
11574,1331550,Big Ambitions,2023-03-10,"Early Access, Indie, Simulation","Sandbox, Open World, Management, Simulation, Resource Management, Economy, Singleplayer, Early Access",2299,22.99,$20-29.99,8,9180,"500,000 - 1,000,000",750000,-0.1351,45.32,57.03,high,0,0,unverified,,0
11657,764790,The Messenger,2018-08-30,"Action, Indie","Great Soundtrack, Difficult, Funny, Beautiful, Comedy, Action, Singleplayer, Adventure",399,3.99,$0.01-4.99,8,10967,"500,000 - 1,000,000",750000,-0.0725,45.24,57.32,high,0,0,unverified,,0
11735,310080,Hatoful Boyfriend,2014-09-04,"Casual, Indie, Simulation","Great Soundtrack, Memes, Funny, Simulation, Comedy, Story Rich, Dating Sim, Singleplayer",999,9.99,$5-9.99,8,7339,"200,000 - 500,000",350000,-0.3991,45.17,55.56,high,0,0,unverified,,0
11776,431730,Aseprite,2016-02-22,"Animation & Modeling, Design & Illustration, Game Development","Difficult, Souls-like, Dating Sim, Singleplayer, Indie, 2D",1999,19.99,$15-19.99,9,19334,"1,000,000 - 2,000,000",1500000,0.5797,45.14,60.7,high,0,0,unverified,,0
11892,2273430,BlazBlue Entropy Effect,2024-02-14,"Action, Adventure, Indie","Replay Value, Hack and Slash, Post-apocalyptic, Story Rich, Action, Procedural Generation, Singleplayer, Adventure",1999,19.99,$15-19.99,8,23190,"200,000 - 500,000",350000,0.0062,45.05,57.63,high,0,0,unverified,,0
11909,250600,The Plan,2014-02-14,"Casual, Free To Play, Indie","Great Soundtrack, Funny, Beautiful, Simulation, Short, Atmospheric, Free to Play, Music",0,0.0,free,8,22878,"500,000 - 1,000,000",750000,0.1866,45.03,58.57,high,0,0,unverified,,0
11929,1123050,GRIME,2021-08-02,"Action, Indie, RPG","Difficult, Atmospheric, Souls-like, Action, Singleplayer, Adventure, Dark, Metroidvania",2499,24.99,$20-29.99,8,5285,"200,000 - 500,000",350000,-0.5148,45.02,54.88,high,0,0,unverified,,0
11971,1388770,Cruelty Squad,2021-06-15,"Action, Indie, Simulation","FPS, First-Person, Simulation, Tactical, Psychological Horror, Dark Humor, Post-apocalyptic, Shooter",1999,19.99,$15-19.99,9,18538,"1,000,000 - 2,000,000",1500000,0.5648,44.99,60.54,high,0,0,unverified,,0
12034,658850,Do Not Feed the Monkeys,2018-10-23,"Indie, Simulation, Strategy","Funny, Management, Simulation, Atmospheric, Dark Humor, Resource Management, Strategy, Story Rich",319,3.19,$0.01-4.99,8,10225,"500,000 - 1,000,000",750000,-0.0972,44.93,57.03,high,0,0,unverified,,0
12054,1344350,SUCCUBUS: Prologue,2020-07-24,"Action, Adventure, Free To Play, Indie","Multiplayer, Gore, First-Person, Horror, Violent, Free to Play, Character Customization, Mature",0,0.0,free,8,5441,"200,000 - 500,000",350000,-0.5046,44.91,54.88,high,0,0,unverified,,0
12096,736260,Baba Is You,2019-03-13,Indie,"Great Soundtrack, Difficult, Funny, Atmospheric, Level Editor, Strategy, Singleplayer, Indie",1499,14.99,$10-14.99,9,20757,"500,000 - 1,000,000",750000,0.4363,44.87,59.81,high,0,0,unverified,,0
12101,232790,Broken Age,2014-01-28,"Adventure, Casual, Indie","Great Soundtrack, Funny, Classic, Short, Comedy, Story Rich, Singleplayer, Sci-fi",1499,14.99,$10-14.99,8,7906,"500,000 - 1,000,000",750000,-0.1878,44.86,56.52,high,0,0,unverified,,0
12142,449960,Book of Demons,2018-12-13,"Action, Adventure, Casual, Indie, RPG","Hack and Slash, Atmospheric, Roguelite, Dungeon Crawler, Roguelike, Action, Isometric, Singleplayer",2499,24.99,$20-29.99,8,9540,"500,000 - 1,000,000",750000,-0.1216,44.84,56.86,high,0,0,unverified,,0
12144,1703340,The Stanley Parable: Ultra Deluxe,2022-04-27,"Adventure, Casual, Indie","Funny, First-Person, Horror, Atmospheric, Comedy, Psychological Horror, Dark Humor, Story Rich",2499,24.99,$20-29.99,8,28048,"500,000 - 1,000,000",750000,0.2584,44.83,58.85,high,0,0,unverified,,0
12156,523780,Emily is Away Too,2017-05-26,"Adventure, Casual, Indie, RPG, Simulation","Great Soundtrack, Memes, Funny, Simulation, Atmospheric, Psychological Horror, Story Rich, Dating Sim",499,4.99,$0.01-4.99,8,5806,"200,000 - 500,000",350000,-0.4817,44.82,54.95,high,0,0,unverified,,0
12159,1533420,Neon White,2022-06-16,"Action, Adventure, Indie","FPS, First-Person, Fast-Paced, Comedy, Shooter, Story Rich, Action, Dating Sim",2499,24.99,$20-29.99,9,16019,"200,000 - 500,000",350000,0.1599,44.82,58.33,high,0,0,unverified,,0
12174,288160,The Room,2014-07-28,"Adventure, Indie","First-Person, Beautiful, Short, Horror, Atmospheric, Lovecraftian, Psychological Horror, Touch-Friendly",499,4.99,$0.01-4.99,9,27490,"500,000 - 1,000,000",750000,0.5353,44.81,60.3,high,0,0,unverified,,0
12253,2291760,Papa's Freezeria Deluxe,2023-03-31,"Action, Casual, Indie, Simulation, Strategy","Funny, Classic, Management, Simulation, Psychological Horror, Strategy, Character Customization, Action",599,5.99,$5-9.99,9,9608,"100,000 - 200,000",150000,-0.226,44.72,56.25,high,0,0,unverified,,0
12328,1280770,Redmatch 2,2021-06-24,"Action, Free To Play, Indie","Multiplayer, Moddable, FPS, First-Person, Fast-Paced, Free to Play, Character Customization, Shooter",0,0.0,free,8,15976,"0 - 20,000",10000,-0.9888,44.64,52.2,high,0,0,unverified,,0
12424,1127500,Mini Motorways,2021-07-20,"Casual, Indie, Simulation, Strategy","Great Soundtrack, Building, Beautiful, Management, City Builder, Simulation, Touch-Friendly, Resource Management",999,9.99,$5-9.99,9,19938,"500,000 - 1,000,000",750000,0.4221,44.56,59.58,high,0,0,unverified,,0
12438,1424330,Wobbledogs,2022-03-15,"Casual, Indie, Simulation","Great Soundtrack, Sandbox, Funny, Simulation, Physics, Procedural Generation, Singleplayer, Early Access",1999,19.99,$15-19.99,9,10735,"200,000 - 500,000",350000,0.0188,44.55,57.45,high,0,0,unverified,,0
12451,981430,Gordian Quest,,"Adventure, Indie, RPG, Strategy","Replay Value, Tactical, Turn-Based, Strategy, Roguelike, Procedural Generation, RPG, Adventure",1999,19.99,$15-19.99,8,5622,"200,000 - 500,000",350000,-0.493,44.54,54.76,high,0,0,unverified,,0
12564,70300,VVVVVV,2010-09-07,"Action, Indie","Great Soundtrack, Open World, Difficult, Short, Action, Singleplayer, Sci-fi, Adventure",169,1.69,$0.01-4.99,9,9793,"500,000 - 1,000,000",750000,0.1717,44.46,58.21,high,0,0,unverified,,0
12568,575640,Zup! 3,2017-01-12,"Casual, Indie","Co-op, Sandbox, Funny, Fast-Paced, Short, Physics, Strategy, Free to Play",199,1.99,$0.01-4.99,8,5447,"200,000 - 500,000",350000,-0.5042,44.46,54.66,high,0,0,unverified,,0
12653,1170880,Grimm's Hollow,2019-10-30,"Adventure, Free To Play, Indie, RPG","Great Soundtrack, Short, Horror, Atmospheric, Turn-Based, Free to Play, Story Rich, Singleplayer",0,0.0,free,9,13455,"500,000 - 1,000,000",750000,0.2835,44.4,58.77,high,0,0,unverified,,0
12717,1281800,Samsara Room,2020-04-29,"Adventure, Free To Play, Indie","Multiplayer, Short, Horror, Atmospheric, Psychological Horror, Free to Play, Story Rich, Singleplayer",0,0.0,free,9,8643,"500,000 - 1,000,000",750000,0.1276,44.34,57.92,high,0,0,unverified,,0
12780,1887840,Another Crab's Treasure,2024-04-25,"Action, Adventure, Indie","Open World, Funny, Atmospheric, Souls-like, Dark Humor, Underwater, Story Rich, Action",2999,29.99,$20-29.99,8,11759,"200,000 - 500,000",350000,-0.2331,44.29,56.0,high,0,0,unverified,,0
12803,597760,Yuppie Psycho: Executive Edition,2019-04-25,"Adventure, Indie","Survival Horror, Blood, Horror, Psychological Horror, Dark Humor, Story Rich, Singleplayer, Stealth",1699,16.99,$15-19.99,9,7698,"500,000 - 1,000,000",750000,0.0869,44.27,57.67,high,0,0,unverified,,0
12806,1594940,Little Witch in the Woods,2022-05-16,"Adventure, Casual, Early Access, Indie, RPG, Simulation","Open World, Crafting, Management, Simulation, Farming Sim, Story Rich, Early Access, RPG",1599,15.99,$15-19.99,8,7607,"500,000 - 1,000,000",750000,-0.2014,44.27,56.15,high,0,0,unverified,,0
12832,2289970,In Sink: A Co-Op Escape Prologue,2023-02-25,"Adventure, Casual, Free To Play, Indie","Co-op, Online Co-Op, Multiplayer, First-Person, Atmospheric, Strategy, Free to Play, Adventure",0,0.0,free,8,5647,"0 - 20,000",10000,-1.3551,44.24,50.07,high,0,0,unverified,,0
13022,18500,Defense Grid: The Awakening,2008-12-08,"Indie, Strategy","Replay Value, Addictive, Touch-Friendly, Strategy, Action, Singleplayer, Sci-fi, Adventure",999,9.99,$5-9.99,9,5022,"500,000 - 1,000,000",750000,-0.0636,44.09,56.79,high,0,0,unverified,,0
13076,893680,Project Warlock,2018-12-06,"Action, Indie","FPS, First-Person, Blood, Fast-Paced, Horror, Roguelike, Shooter, Action",1200,12.0,$10-14.99,8,5023,"200,000 - 500,000",350000,-0.5327,44.05,54.3,high,0,0,unverified,,0
13135,1240210,There Is No Game: Wrong Dimension,2020-08-06,"Adventure, Casual, Indie","Great Soundtrack, Funny, Simulation, Comedy, Story Rich, Action, Singleplayer, RPG",1299,12.99,$10-14.99,9,22272,"500,000 - 1,000,000",750000,0.4611,43.99,59.5,high,0,0,unverified,,0
13329,241600,Rogue Legacy,2013-06-27,"Action, Adventure, Indie, RPG","Addictive, Roguelite, Roguelike, Action, Singleplayer, RPG, Adventure, Action Roguelike",1499,14.99,$10-14.99,8,18349,"200,000 - 500,000",350000,-0.0763,43.85,56.6,high,0,0,unverified,,0
13394,232770,POSTAL,1997-11-14,"Action, Indie","Difficult, Horror, Atmospheric, Comedy, Level Editor, Psychological Horror, Dark Humor, Shooter",6795,67.95,$40+,8,9663,"5,000,000 - 10,000,000",7500000,0.4423,43.81,59.31,high,0,0,unverified,,0
13403,1432860,Sun Haven,2023-03-10,"Adventure, Casual, Indie, RPG, Simulation","Multiplayer, Crafting, Simulation, Farming Sim, Agriculture, Character Customization, Dating Sim, Singleplayer",1249,12.49,$10-14.99,8,19709,"500,000 - 1,000,000",750000,0.134,43.81,57.69,high,0,0,unverified,,0
13409,232430,Gone Home,2013-08-15,"Adventure, Indie","Great Soundtrack, First-Person, Short, Atmospheric, Story Rich, Singleplayer, Adventure, Indie",1499,14.99,$10-14.99,6,17625,"500,000 - 1,000,000",750000,-0.4734,43.8,54.49,high,0,0,unverified,,0
13426,266510,Hand of Fate,2015-02-17,"Action, Indie, RPG","Difficult, Hack and Slash, Atmospheric, Roguelite, Roguelike, Action, Singleplayer, RPG",399,3.99,$0.01-4.99,8,10465,"500,000 - 1,000,000",750000,-0.089,43.79,56.5,high,0,0,unverified,,0
13470,1045520,Acting Lessons,2019-07-25,Indie,"Replay Value, Gore, Funny, Comedy, Violent, Realistic, Story Rich, Mature",999,9.99,$5-9.99,9,5057,"0 - 20,000",10000,-1.11,43.76,51.12,high,0,0,unverified,,0
13570,598700,The Vagrant,2018-07-13,"Action, Adventure, Indie, RPG","Great Soundtrack, Classic, Hack and Slash, Story Rich, Action, Singleplayer, RPG, Adventure",79,0.79,$0.01-4.99,8,8015,"200,000 - 500,000",350000,-0.3681,43.68,54.98,high,0,0,unverified,,0
13577,1306630,Lost Ruins,2021-05-13,"Action, Adventure, Indie","Survival, Hack and Slash, Horror, Character Customization, Action, Singleplayer, Sci-fi, Adventure",1999,19.99,$15-19.99,8,5178,"100,000 - 200,000",150000,-0.7279,43.67,53.08,high,0,0,unverified,,0
13640,2666510,Rusty's Retirement,,"Casual, Indie, Simulation, Strategy","Building, Base Building, Management, Simulation, Farming Sim, Resource Management, Strategy, Post-apocalyptic",699,6.99,$5-9.99,9,8068,"200,000 - 500,000",350000,-0.0818,43.62,56.46,high,0,0,unverified,,0
13692,1404850,Luck be a Landlord,2023-01-06,"Indie, Simulation, Strategy","Management, Simulation, Roguelite, Resource Management, Strategy, Roguelike, Procedural Generation, Singleplayer",999,9.99,$5-9.99,8,9990,"200,000 - 500,000",350000,-0.2905,43.58,55.34,high,0,0,unverified,,0
