app_id,owners_range,price_cents,price_usd
3620,"200,000 - 500,000",499,4.99
3622,"0 - 20,000",0,0.0
3700,"500,000 - 1,000,000",799,7.99
3710,"100,000 - 200,000",799,7.99
3720,"200,000 - 500,000",999,9.99
3730,"200,000 - 500,000",499,4.99
3800,"50,000 - 100,000",999,9.99
3810,"50,000 - 100,000",0,0.0
3820,"50,000 - 100,000",0,0.0
3830,"2,000,000 - 5,000,000",999,9.99
3850,"0 - 20,000",0,0.0
3900,"1,000,000 - 2,000,000",1999,19.99
3910,"1,000,000 - 2,000,000",499,4.99
3920,"200,000 - 500,000",999,9.99
3960,"20,000 - 50,000",499,4.99
3980,"100,000 - 200,000",999,9.99
3990,"200,000 - 500,000",499,4.99
4000,"20,000,000 - 50,000,000",999,9.99
4100,"0 - 20,000",999,9.99
4102,"0 - 20,000",0,0.0
4230,"0 - 20,000",3999,39.99
4260,"0 - 20,000",0,0.0
4290,"0 - 20,000",399,3.99
4300,"20,000 - 50,000",999,9.99
4310,"0 - 20,000",0,0.0
4420,"20,000 - 50,000",74,0.74
4440,"0 - 20,000",0,0.0
4460,"20,000 - 50,000",99,0.99
4470,"20,000 - 50,000",74,0.74
4500,"1,000,000 - 2,000,000",1999,19.99
4520,"100,000 - 200,000",999,9.99
4530,"50,000 - 100,000",999,9.99
4560,"2,000,000 - 5,000,000",3699,36.99
4570,"1,000,000 - 2,000,000",3499,34.99
4580,"1,000,000 - 2,000,000",0,0.0
4700,"1,000,000 - 2,000,000",2499,24.99
4710,"0 - 20,000",0,0.0
4720,"200,000 - 500,000",1495,14.95
4760,"500,000 - 1,000,000",0,0.0
4770,"500,000 - 1,000,000",0,0.0
4780,"200,000 - 500,000",2499,24.99
4800,"100,000 - 200,000",799,7.99
4810,"0 - 20,000",0,0.0
4820,"0 - 20,000",0,0.0
4850,"200,000 - 500,000",499,4.99
4870,"50,000 - 100,000",499,4.99
4880,"50,000 - 100,000",499,4.99
4890,"200,000 - 500,000",499,4.99
4900,"20,000 - 50,000",0,0.0
4920,"1,000,000 - 2,000,000",499,4.99
6000,"1,000,000 - 2,000,000",999,9.99
6010,"200,000 - 500,000",599,5.99
6020,"1,000,000 - 2,000,000",999,9.99
6030,"500,000 - 1,000,000",999,9.99
6040,"100,000 - 200,000",599,5.99
6060,"5,000,000 - 10,000,000",999,9.99
6080,"50,000 - 100,000",999,9.99
6090,"20,000 - 50,000",599,5.99
6120,"200,000 - 500,000",999,9.99
6130,"0 - 20,000",0,0.0
6200,"100,000 - 200,000",499,4.99
6210,"20,000 - 50,000",499,4.99
6220,"200,000 - 500,000",149,1.49
6230,"0 - 20,000",0,0.0
6250,"50,000 - 100,000",399,3.99
6260,"0 - 20,000",0,0.0
6270,"20,000 - 50,000",79,0.79
6300,"200,000 - 500,000",599,5.99
6310,"200,000 - 500,000",299,2.99
6320,"0 - 20,000",0,0.0
6370,"500,000 - 1,000,000",0,0.0
6400,"20,000 - 50,000",799,7.99
6410,"0 - 20,000",0,0.0
6420,"100,000 - 200,000",999,9.99
6510,"200,000 - 500,000",1499,14.99
6580,"0 - 20,000",0,0.0
6600,"50,000 - 100,000",399,3.99
6800,"500,000 - 1,000,000",499,4.99
6810,"200,000 - 500,000",499,4.99
6830,"500,000 - 1,000,000",499,4.99
6840,"500,000 - 1,000,000",499,4.99
6850,"1,000,000 - 2,000,000",899,8.99
6860,"1,000,000 - 2,000,000",999,9.99
6870,"500,000 - 1,000,000",97,0.97
6880,"1,000,000 - 2,000,000",97,0.97
6900,"1,000,000 - 2,000,000",799,7.99
6910,"1,000,000 - 2,000,000",699,6.99
6920,"1,000,000 - 2,000,000",699,6.99
6930,"0 - 20,000",0,0.0
6940,"0 - 20,000",0,0.0
6950,"0 - 20,000",0,0.0
6980,"500,000 - 1,000,000",899,8.99
7000,"500,000 - 1,000,000",97,0.97
7010,"100,000 - 200,000",89,0.89
7020,"50,000 - 100,000",999,9.99
7030,"0 - 20,000",0,0.0
