app_id,review_score,review_score_description,positive,negative,total,recommendations,steamspy_positive,steamspy_negative
10,9,Overwhelmingly Positive,235403,6207,241610,153259,235397,6207
20,8,Very Positive,7315,1094,8409,6268,7314,1092
30,8,Very Positive,6249,672,6921,4146,6246,672
40,8,Very Positive,2542,524,3066,2218,2541,525
50,9,Overwhelmingly Positive,22263,1111,23374,20144,22260,1112
60,8,Very Positive,4791,1013,5804,4145,4790,1013
70,9,Overwhelmingly Positive,129364,4652,134016,95770,129338,4660
80,8,Very Positive,23316,2220,25536,18898,23316,2218
130,8,Very Positive,15859,1330,17189,14830,15857,1330
219,8,Very Positive,132,10,142,,73753,2522
220,9,Overwhelmingly Positive,196153,4851,201004,159918,196156,4847
240,9,Overwhelmingly Positive,168737,6493,175230,120468,168731,6494
280,5,Mixed,10811,4767,15578,13549,10809,4765
300,8,Very Positive,20269,1845,22114,14840,20267,1843
320,8,Very Positive,11952,1208,13160,9006,11951,1208
340,8,Very Positive,12197,1465,13662,10673,12193,1465
360,6,Mostly Positive,3162,1112,4274,3613,3162,1111
380,9,Overwhelmingly Positive,30277,1337,31614,26112,30269,1338
400,9,Overwhelmingly Positive,163711,2554,166265,142984,163682,2552
410,8,Very Positive,206,8,214,,56543,1148
420,9,Overwhelmingly Positive,40443,1219,41662,34205,40440,1219
440,8,Very Positive,990978,130730,1121708,38824,990861,130895
500,9,Overwhelmingly Positive,55750,2125,57875,48645,55742,2127
550,9,Overwhelmingly Positive,870143,22238,892381,674128,870082,22241
570,8,Very Positive,1910300,430468,2340768,14315,1911902,430406
620,9,Overwhelmingly Positive,403732,5344,409076,338329,403681,5343
630,8,Very Positive,20019,1089,21108,302,20018,1087
730,8,Very Positive,7271193,1089297,8360490,4248820,7271086,1088861
1002,6,Mostly Positive,86,28,114,,86,28
1003,0,2 user reviews,0,2,2,,42,17
1200,8,Very Positive,2105,291,2396,1400,2110,308
1250,9,Overwhelmingly Positive,62849,3123,65972,37711,63046,3357
1300,8,Very Positive,1007,118,1125,769,1007,118
1313,8,Very Positive,300,69,369,290,299,69
1500,8,Very Positive,846,210,1056,730,846,210
1502,0,2 user reviews,2,0,2,,489,163
1510,8,Very Positive,2116,207,2323,1676,2115,207
1520,8,Very Positive,3512,519,4031,3185,3513,519
1522,8,Very Positive,56,6,62,,2103,360
1530,8,Very Positive,470,105,575,390,470,105
1540,0,4 user reviews,3,1,4,,382,77
1600,6,Mostly Positive,284,78,362,317,284,78
1610,8,Very Positive,220,38,258,229,220,38
1620,0,No user reviews,0,0,0,,0,0
1630,8,Very Positive,1087,163,1250,1105,1087,162
1640,8,Very Positive,1199,247,1446,1290,1199,246
1670,5,Mixed,179,108,287,259,179,108
1690,6,Mostly Positive,318,125,443,389,318,125
1710,0,3 user reviews,2,1,3,,735,109
1840,8,Very Positive,36229,2744,38973,228,36223,2743
1900,6,Mostly Positive,965,400,1365,702,965,401
1930,6,Mostly Positive,4193,1288,5481,2420,4194,1288
2100,8,Very Positive,9258,898,10156,7844,9259,898
2120,0,5 user reviews,3,2,5,,4754,352
2200,9,Overwhelmingly Positive,3437,151,3588,3009,3437,151
2210,8,Very Positive,2811,399,3210,2520,2810,399
2270,8,Very Positive,3510,243,3753,3230,3509,242
2310,9,Overwhelmingly Positive,13357,468,13825,11722,13356,468
2320,9,Overwhelmingly Positive,8249,403,8652,7098,8244,403
2360,8,Very Positive,609,92,701,661,610,92
2370,6,Mostly Positive,147,46,193,184,147,46
2390,8,Very Positive,1014,66,1080,1017,1014,66
2400,8,Very Positive,5094,843,5937,2552,5094,843
2420,6,Mostly Positive,663,268,931,390,663,268
2450,6,Mostly Positive,822,231,1053,889,822,231
2500,8,Very Positive,1254,286,1540,1173,1254,286
2510,0,3 user reviews,1,2,3,,1000,255
2540,5,Mixed,231,149,380,244,231,149
2590,5,Mixed,792,651,1443,784,792,650
2600,8,Very Positive,12637,698,13335,11965,12630,698
2610,8,Very Positive,1742,155,1897,1738,1742,155
2620,8,Very Positive,6106,346,6452,5993,6107,347
2630,8,Very Positive,9245,643,9888,7775,9240,643
2640,8,Very Positive,1736,258,1994,1846,1734,258
2700,8,Very Positive,4711,428,5139,4075,4713,428
2710,8,Very Positive,493,57,550,501,493,57
2720,6,Mostly Positive,34,12,46,,34,12
2730,0,1 user reviews,1,0,1,,30,10
2800,8,Very Positive,390,84,474,395,390,84
2810,6,Mostly Positive,478,188,666,528,477,188
2820,8,Very Positive,2338,398,2736,1976,2337,398
2840,6,Mostly Positive,265,90,355,263,265,90
2850,6,Mostly Positive,91,29,120,,91,29
2870,5,Mixed,3153,4107,7260,5114,3153,4106
2900,6,Mostly Positive,153,40,193,183,152,40
2910,8,Very Positive,380,55,435,415,380,55
2920,6,Mostly Positive,92,34,126,117,92,34
2990,9,Overwhelmingly Positive,16666,664,17330,15169,16659,664
3010,8,Very Positive,441,90,531,465,441,90
3020,8,Very Positive,2964,729,3693,2966,2964,729
3050,6,Mostly Positive,294,87,381,335,294,87
3130,8,Very Positive,670,113,783,652,670,113
3170,8,Very Positive,1070,106,1176,931,1069,106
3190,0,2 user reviews,1,1,2,,523,56
3210,0,3 user reviews,2,1,3,,55,4
3230,4,Mostly Negative,45,109,154,124,45,109
3260,5,Mixed,352,248,600,421,352,248
3270,6,Mostly Positive,761,286,1047,809,762,286
3280,0,2 user reviews,2,0,2,,0,0
3300,8,Very Positive,533,32,565,521,534,32
3302,0,5 user reviews,4,1,5,,160,11
3310,8,Very Positive,1068,70,1138,1034,1068,70
3312,0,2 user reviews,2,0,2,,225,16
3320,9,Overwhelmingly Positive,5253,173,5426,5082,5252,173
3322,0,4 user reviews,3,1,4,,1403,63
3330,9,Overwhelmingly Positive,4413,213,4626,4373,4411,214
3332,0,2 user reviews,2,0,2,,553,43
3340,6,Mostly Positive,81,22,103,,81,22
3342,0,1 user reviews,1,0,1,,41,5
3350,8,Very Positive,206,22,228,215,205,22
3352,0,2 user reviews,2,0,2,,63,13
3360,8,Very Positive,133,10,143,127,133,10
3362,0,1 user reviews,1,0,1,,36,3
3380,8,Very Positive,298,14,312,284,298,14
3382,0,1 user reviews,1,0,1,,60,4
3390,9,Overwhelmingly Positive,2042,56,2098,1852,2043,56
3392,0,1 user reviews,1,0,1,,422,19
3400,8,Very Positive,52,6,58,,52,6
3410,8,Very Positive,286,50,336,319,286,50
3412,0,1 user reviews,1,0,1,,86,31
3420,8,Very Positive,63,5,68,,62,5
3422,0,1 user reviews,1,0,1,,15,1
3430,8,Very Positive,194,6,200,180,194,6
3432,0,2 user reviews,1,1,2,,59,4
3450,8,Very Positive,315,48,363,343,315,48
3452,0,7 user reviews,5,2,7,,89,28
3460,8,Very Positive,69,2,71,,69,2
3462,0,1 user reviews,1,0,1,,16,0
3480,9,Overwhelmingly Positive,8965,248,9213,7816,8961,248
3482,7,Positive,10,0,10,,1304,74
3483,8,Very Positive,2069,120,2189,,2068,120
3490,7,Positive,18,3,21,,18,3
3500,8,Very Positive,48,10,58,,48,10
3502,0,1 user reviews,1,0,1,,10,4
3510,8,Very Positive,62,15,77,,62,15
3512,0,1 user reviews,1,0,1,,21,8
3520,8,Very Positive,50,10,60,,50,10
3522,0,1 user reviews,1,0,1,,10,5
3530,8,Very Positive,75,15,90,,75,15
3532,0,1 user reviews,1,0,1,,24,7
3540,9,Overwhelmingly Positive,2267,74,2341,2006,2267,73
3560,8,Very Positive,415,84,499,467,415,84
3562,0,4 user reviews,3,1,4,,115,25
3570,7,Positive,37,7,44,,37,7
3572,0,1 user reviews,1,0,1,,8,5
3580,7,Positive,35,7,42,,35,7
3582,0,1 user reviews,1,0,1,,16,3
3590,9,Overwhelmingly Positive,129378,3230,132608,121559,129332,3225
3592,7,Positive,32,3,35,,18085,576
3600,6,Mostly Positive,195,82,277,127,195,82
3602,0,1 user reviews,1,0,1,,99,59
3610,6,Mostly Positive,43,11,54,,43,11
3612,0,2 user reviews,0,2,2,,9,3
3620,8,Very Positive,2325,124,2449,2187,2323,124
3622,0,1 user reviews,1,0,1,,528,32
3700,6,Mostly Positive,2765,829,3594,3090,2764,828
3710,8,Very Positive,953,136,1089,966,952,136
3720,8,Very Positive,3236,222,3458,2920,3238,222
3730,8,Very Positive,2240,317,2557,2277,2240,318
3800,6,Mostly Positive,397,114,511,373,397,114
3810,6,Mostly Positive,471,130,601,467,471,130
3820,6,Mostly Positive,317,123,440,359,317,123
3830,9,Overwhelmingly Positive,16247,827,17074,10561,16245,827
3850,0,4 user reviews,4,0,4,,134,47
3900,8,Very Positive,2959,228,3187,2393,2958,228
3910,8,Very Positive,6127,716,6843,4900,6131,716
3920,8,Very Positive,6196,358,6554,5366,6198,358
3960,5,Mixed,82,72,154,140,82,72
3980,6,Mostly Positive,584,220,804,698,585,219
3990,8,Very Positive,409,40,449,330,409,40
4000,9,Overwhelmingly Positive,1068744,35967,1104711,949746,1068825,35972
4100,5,Mixed,7,8,15,,7,8
4102,0,2 user reviews,0,2,2,,4,6
4230,6,Mostly Positive,142,51,193,,142,51
4260,0,8 user reviews,7,1,8,,1717,356
4290,5,Mixed,6,6,12,,6,6
4310,0,1 user reviews,0,1,1,,44,14
4420,5,Mixed,84,56,140,123,84,56
4440,0,1 user reviews,0,1,1,,60,39
4460,6,Mostly Positive,163,47,210,204,163,47
4470,6,Mostly Positive,65,25,90,,65,25
4500,8,Very Positive,40457,2203,42660,33714,40490,2303
4520,6,Mostly Positive,202,82,284,237,201,82
4530,6,Mostly Positive,151,59,210,185,151,59
4560,8,Very Positive,6392,436,6828,4438,6394,436
4570,9,Overwhelmingly Positive,9929,519,10448,7598,9944,518
4580,9,Overwhelmingly Positive,8183,288,8471,6800,8185,288
4700,9,Overwhelmingly Positive,30437,1360,31797,23664,30438,1360
4710,7,Positive,14,2,16,,11125,690
4720,8,Very Positive,3177,481,3658,2475,3173,481
4760,8,Very Positive,14956,860,15816,12307,14959,860
4770,6,Mostly Positive,637,206,843,723,637,206
4780,8,Very Positive,599,32,631,543,599,32
4800,8,Very Positive,599,102,701,510,599,102
4810,0,2 user reviews,1,1,2,,280,46
4820,0,2 user reviews,1,1,2,,280,45
4850,8,Very Positive,2328,300,2628,2330,2330,300
4870,8,Very Positive,253,60,313,267,253,60
4880,6,Mostly Positive,414,150,564,474,414,150
4890,8,Very Positive,821,200,1021,873,820,200
4900,8,Very Positive,280,33,313,,280,33
4920,8,Very Positive,11107,1915,13022,8381,11108,1914
6000,9,Overwhelmingly Positive,14768,666,15434,13210,14772,666
6010,8,Very Positive,1267,82,1349,1205,1265,82
6020,9,Overwhelmingly Positive,12452,511,12963,10612,12452,511
6030,8,Very Positive,4137,399,4536,3719,4138,399
6040,8,Very Positive,1054,95,1149,1035,1054,95
6060,8,Very Positive,49670,2843,52513,44851,49674,2843
6080,8,Very Positive,772,59,831,715,772,59
6090,8,Very Positive,253,28,281,243,253,28
6120,8,Very Positive,3231,364,3595,2592,3231,364
6130,0,6 user reviews,6,0,6,,1884,240
6200,8,Very Positive,1646,190,1836,1616,1645,189
6210,6,Mostly Positive,120,40,160,132,120,40
6220,8,Very Positive,4669,401,5070,4444,4666,401
6230,7,Positive,9,2,11,,2108,192
6250,6,Mostly Positive,484,126,610,535,484,126
6260,0,4 user reviews,4,0,4,,461,109
6270,5,Mixed,89,108,197,154,89,107
6300,8,Very Positive,938,175,1113,983,939,175
6310,8,Very Positive,1764,193,1957,1691,1765,193
6320,0,3 user reviews,3,0,3,,1201,103
6370,8,Very Positive,1441,246,1687,,1441,246
6400,8,Very Positive,260,34,294,243,260,34
6410,0,3 user reviews,1,2,3,,104,15
6420,8,Very Positive,819,138,957,874,819,138
6510,8,Very Positive,1486,340,1826,1484,1485,340
6580,0,3 user reviews,2,1,3,,626,188
6600,5,Mixed,44,40,84,,44,40
6800,8,Very Positive,3212,364,3576,3100,3212,364
6810,8,Very Positive,869,111,980,847,870,111
6830,8,Very Positive,2231,384,2615,2226,2231,384
6840,5,Mixed,661,395,1056,876,661,395
6850,8,Very Positive,3190,628,3818,2789,3191,627
6860,8,Very Positive,12219,763,12982,10800,12218,762
6870,6,Mostly Positive,688,194,882,783,689,194
6880,5,Mixed,3155,1614,4769,4054,3153,1613
6900,6,Mostly Positive,2721,1014,3735,3009,2723,1014
6910,8,Very Positive,13264,724,13988,12244,13267,724
6920,5,Mixed,1258,920,2178,1901,1256,921
6930,0,7 user reviews,4,3,7,,1850,905
6940,0,2 user reviews,0,2,2,,332,121
6950,7,Positive,9,1,10,,6292,416
6980,8,Very Positive,1929,431,2360,2117,1929,431
7000,8,Very Positive,4436,635,5071,4473,4432,635
7010,6,Mostly Positive,480,154,634,591,480,153
7020,8,Very Positive,432,27,459,426,432,27
7030,0,6 user reviews,5,1,6,,1789,261
7050,0,1 user reviews,0,1,1,,197,69
7110,6,Mostly Positive,1397,469,1866,1683,1397,469
7200,8,Very Positive,2365,127,2492,2189,2366,127
7210,6,Mostly Positive,519,158,677,578,517,158
7220,5,Mixed,197,148,345,297,197,148
7230,0,1 user reviews,0,1,1,,94,69
7260,5,Mixed,141,79,220,203,141,79
7280,0,2 user reviews,0,2,2,,75,59
7340,7,Positive,36,9,45,,36,9
7510,5,Mixed,1931,1219,3150,1005,1931,1218
7520,5,Mixed,4121,2455,6576,3717,4118,2455
7530,5,Mixed,352,314,666,297,352,314
7600,6,Mostly Positive,2205,921,3126,2345,2204,921
7610,6,Mostly Positive,853,266,1119,996,853,266
7620,8,Very Positive,1101,130,1231,1188,1101,130
7650,8,Very Positive,752,73,825,671,752,73
7660,8,Very Positive,764,100,864,768,764,100
7670,8,Very Positive,28503,1763,30266,23533,28504,1763
7710,0,1 user reviews,1,0,1,,20151,1205
7730,5,Mixed,105,86,191,136,105,86
7760,8,Very Positive,3480,195,3675,2936,3480,195
7770,5,Mixed,235,179,414,279,235,178
7800,8,Very Positive,1833,271,2104,1372,1832,272
7830,8,Very Positive,3125,348,3473,2954,3123,348
7840,5,Mixed,83,66,149,,83,66
7860,5,Mixed,1111,514,1625,1159,1111,514
7890,7,Positive,12,0,12,,1729,257
7940,8,Very Positive,22560,1604,24164,19396,22565,1603
8000,8,Very Positive,5258,1127,6385,5699,5256,1127
8030,7,Positive,10,2,12,,2121,406
8080,5,Mixed,2102,1180,3282,2550,2102,1180
8090,0,3 user reviews,2,1,3,,105,111
8100,5,Mixed,207,192,399,349,207,192
8140,6,Mostly Positive,4520,1379,5899,5249,4518,1380
8150,0,9 user reviews,9,0,9,,1943,645
8170,6,Mostly Positive,1795,728,2523,2226,1796,728
8180,0,8 user reviews,8,0,8,,1097,578
8190,8,Very Positive,45672,4642,50314,39906,45681,4640
8310,5,Mixed,106,92,198,,106,91
8320,5,Mixed,67,44,111,,67,44
8330,5,Mixed,183,105,288,154,181,105
8400,8,Very Positive,904,96,1000,910,904,96
8500,6,Mostly Positive,25722,9090,34812,7501,25729,9092
8600,8,Very Positive,2240,382,2622,1176,2241,382
8700,0,1 user reviews,1,0,1,,15,8
8720,0,4 user reviews,4,0,4,,179,60
8760,0,2 user reviews,2,0,2,,0,0
8780,,,,,,,,
8790,8,Very Positive,277,26,303,231,277,26
8800,9,Overwhelmingly Positive,4152,157,4309,3270,4150,157
8820,0,No user reviews,0,0,0,,1516,75
8850,8,Very Positive,12569,1515,14084,10659,12572,1515
8870,8,Very Positive,129438,8583,138021,103362,129455,8583
8880,5,Mixed,285,224,509,412,286,224
8890,8,Very Positive,240,41,281,233,239,41
8900,0,2 user reviews,2,0,2,,204,160
8910,0,1 user reviews,1,0,1,,130,28
8930,9,Overwhelmingly Positive,192015,7732,199747,121283,192051,7732
8970,6,Mostly Positive,68,28,96,,68,28
8980,8,Very Positive,27751,2099,29850,19575,28574,2935
9010,8,Very Positive,7498,569,8067,6935,7498,569
9050,8,Very Positive,6666,811,7477,6485,6665,813
9060,8,Very Positive,415,101,516,482,415,101
9120,0,2 user reviews,1,1,2,,0,0
9180,8,Very Positive,1372,97,1469,1363,1372,97
9200,6,Mostly Positive,13350,3869,17219,11463,13350,3870
9300,7,Positive,9,2,11,,4797,331
9310,8,Very Positive,1903,236,2139,1661,1903,236
9320,0,4 user reviews,4,0,4,,3691,217
9330,0,1 user reviews,0,1,1,,3703,217
9340,8,Very Positive,1004,87,1091,724,1004,87
9350,8,Very Positive,2495,305,2800,2023,2496,305
9420,9,Overwhelmingly Positive,12550,413,12963,8833,12550,413
9440,0,1 user reviews,0,1,1,,5451,298
9450,9,Overwhelmingly Positive,15756,761,16517,12129,15753,762
9460,5,Mixed,648,307,955,789,646,307
9480,6,Mostly Positive,15024,4923,19947,11416,15025,4923
9500,5,Mixed,271,197,468,270,271,197
9510,0,2 user reviews,2,0,2,,165,98
9710,5,Mixed,132,137,269,214,133,137
9730,5,Mixed,105,153,258,204,105,153
9760,8,Very Positive,395,90,485,436,395,90
9800,6,Mostly Positive,687,214,901,703,687,214
9850,5,Mixed,167,86,253,201,167,86
9880,6,Mostly Positive,2914,1170,4084,186,2915,1170
9900,6,Mostly Positive,15420,4113,19533,891,15421,4110
9940,8,Very Positive,876,181,1057,886,876,181
9950,0,2 user reviews,2,0,2,,767,150
9960,5,Mixed,13,16,29,,13,16
9970,3,Negative,6,30,36,,6,30
9980,5,Mixed,59,31,90,,59,31
10090,8,Very Positive,45244,3877,49121,41878,45257,3876
10100,8,Very Positive,299,48,347,278,302,48
10110,8,Very Positive,305,56,361,283,305,56
10120,5,Mixed,22,24,46,,22,24
10130,6,Mostly Positive,1032,265,1297,1029,1032,265
10140,5,Mixed,83,40,123,108,83,40
10150,8,Very Positive,9275,2292,11567,10088,9273,2292
10180,8,Very Positive,52890,3931,56821,32235,52893,3932
10220,5,Mixed,2193,2756,4949,3730,2189,2756
10230,4,Mostly Negative,41,71,112,101,41,71
10240,5,Mixed,20,12,32,,20,12
10250,5,Mixed,22,22,44,,22,22
10260,5,Mixed,15,13,28,,15,13
10270,6,Mostly Positive,1201,472,1673,1152,1201,471
10460,5,Mixed,95,71,166,127,95,71
10500,8,Very Positive,30785,3136,33921,18587,30792,3135
10520,0,6 user reviews,5,1,6,,5,1
10620,7,Positive,37,1,38,,15510,1786
10680,8,Very Positive,17427,1667,19094,14045,17424,1666
11000,0,3 user reviews,0,3,3,,75,59
11020,8,Very Positive,20653,2324,22977,171,20650,2325
11040,6,Mostly Positive,433,168,601,519,433,167
11050,6,Mostly Positive,219,88,307,255,219,88
11080,0,2 user reviews,2,0,2,,115,44
11090,0,2 user reviews,2,0,2,,98,47
11130,4,Mostly Negative,127,327,454,,127,326
11140,6,Mostly Positive,541,203,744,631,541,203
11150,5,Mixed,373,249,622,546,373,248
11180,4,Mostly Negative,179,313,492,418,179,312
11190,8,Very Positive,895,222,1117,983,895,222
11200,5,Mixed,464,303,767,556,464,303
11220,0,2 user reviews,2,0,2,,331,240
11230,5,Mixed,325,140,465,303,325,140
11240,5,Mixed,315,323,638,444,315,323
11250,5,Mixed,39,21,60,,39,21
11260,5,Mixed,132,90,222,197,132,90
11270,0,3 user reviews,1,2,3,,350,142
11280,8,Very Positive,1223,143,1366,777,1223,143
11340,6,Mostly Positive,563,181,744,510,563,181
11370,5,Mixed,204,171,375,249,204,171
11390,5,Mixed,1383,1040,2423,1132,1383,1040
11450,8,Very Positive,5760,399,6159,4495,5761,399
11470,0,4 user reviews,3,1,4,,3605,286
11480,8,Very Positive,617,111,728,617,617,111
11550,6,Mostly Positive,186,47,233,196,186,47
11560,5,Mixed,100,59,159,133,100,59
11590,5,Mixed,233,347,580,369,233,347
11910,0,2 user reviews,2,0,2,,39,10
11920,7,Positive,22,3,25,,22,3
12130,5,Mixed,4090,1795,5885,4781,4089,1796
12140,8,Very Positive,12519,1508,14027,11158,12517,1508
12150,8,Very Positive,10142,568,10710,8500,10136,567
12180,8,Very Positive,420,33,453,196,420,33
12200,8,Very Positive,28415,5145,33560,29444,28400,5144
12210,8,Very Positive,133532,29362,162894,141743,133495,29350
12220,6,Mostly Positive,7549,2661,10210,7349,7549,2661
12310,6,Mostly Positive,77,26,103,,77,26
12320,8,Very Positive,3379,600,3979,3473,3376,600
12330,8,Very Positive,465,99,564,530,465,99
12340,5,Mixed,70,47,117,,70,47
12360,8,Very Positive,5205,653,5858,5077,5201,652
12390,5,Mixed,124,91,215,169,126,91
12420,4,Mostly Negative,16,55,71,,16,55
12430,4,Mostly Negative,44,83,127,108,44,83
12440,5,Mixed,40,19,59,,40,19
12450,6,Mostly Positive,26,11,37,,26,11
12460,5,Mixed,125,76,201,177,124,76
12470,6,Mostly Positive,417,176,593,553,418,176
12480,5,Mixed,130,94,224,184,130,94
12500,8,Very Positive,908,130,1038,934,908,130
12510,4,Mostly Negative,25,94,119,115,25,93
12520,6,Mostly Positive,352,133,485,393,352,133
12530,8,Very Positive,57,10,67,,57,10
12540,6,Mostly Positive,25,8,33,,25,8
12560,5,Mixed,20,28,48,,20,28
12570,5,Mixed,14,17,31,,14,17
12580,5,Mixed,12,14,26,,12,14
12590,5,Mixed,35,29,64,,35,29
12600,4,Mostly Negative,15,32,47,,15,32
12640,8,Very Positive,549,134,683,559,549,134
12670,5,Mixed,14,8,22,,14,8
12690,8,Very Positive,263,52,315,254,263,52
12710,8,Very Positive,2049,154,2203,1648,2049,154
12770,6,Mostly Positive,556,214,770,365,556,214
12790,5,Mixed,202,243,445,242,202,244
12810,8,Very Positive,4003,492,4495,3573,4003,492
12820,0,6 user reviews,3,3,6,,0,0
12830,5,Mixed,1636,745,2381,1557,1635,745
12890,0,6 user reviews,5,1,6,,1046,595
12900,9,Overwhelmingly Positive,10410,464,10874,8670,10412,464
12910,7,Positive,43,2,45,,9227,406
13000,8,Very Positive,55,7,62,,55,7
13010,0,2 user reviews,1,1,2,,50,4
13140,6,Mostly Positive,1719,725,2444,,1719,725
13500,8,Very Positive,2675,518,3193,3015,2676,518
13520,8,Very Positive,7678,1683,9361,8706,7667,1683
13530,6,Mostly Positive,1643,414,2057,1951,1642,414
13540,6,Mostly Positive,1106,280,1386,1280,1105,280
13560,8,Very Positive,2726,376,3102,2949,2724,376
13570,8,Very Positive,4494,320,4814,4447,4490,320
13580,4,Mostly Negative,595,993,1588,1478,596,992
13600,8,Very Positive,3492,573,4065,3850,3489,573
13620,8,Very Positive,121,11,132,124,121,11
13630,8,Very Positive,124,18,142,134,124,18
15000,5,Mixed,277,182,459,436,277,182
15080,8,Very Positive,1278,249,1527,1409,1278,249
15100,8,Very Positive,16299,3547,19846,18588,16286,3547
15120,8,Very Positive,4665,851,5516,4812,4666,851
15130,8,Very Positive,2925,473,3398,3161,2926,473
15160,6,Mostly Positive,145,48,193,130,145,48
15170,8,Very Positive,3186,440,3626,3356,3186,439
15190,8,Very Positive,1548,216,1764,1688,1548,216
15200,5,Mixed,695,309,1004,983,695,309
15210,8,Very Positive,2058,290,2348,2263,2058,290
15240,8,Very Positive,235,57,292,284,234,57
15270,8,Very Positive,967,179,1146,1077,967,179
15300,8,Very Positive,1312,103,1415,1334,1311,103
15320,8,Very Positive,2537,325,2862,2365,2537,325
15370,8,Very Positive,2562,198,2760,2546,2559,198
15380,8,Very Positive,273,45,318,300,274,45
15390,8,Very Positive,1846,185,2031,1925,1845,184
15400,6,Mostly Positive,120,34,154,125,120,34
15500,6,Mostly Positive,516,150,666,538,516,150
15510,0,2 user reviews,2,0,2,,410,136
15520,8,Very Positive,624,119,743,641,624,119
15560,6,Mostly Positive,808,280,1088,528,807,280
15620,8,Very Positive,10741,1395,12136,6743,10741,1395
15680,0,7 user reviews,6,1,7,,5866,789
15700,8,Very Positive,3632,615,4247,2047,3632,615
15710,8,Very Positive,1447,80,1527,1366,1445,80
15720,0,3 user reviews,2,1,3,,852,47
15730,0,5 user reviews,5,0,5,,2873,455
15740,6,Mostly Positive,764,226,990,897,764,226
15750,8,Very Positive,1376,200,1576,1364,1375,200
15800,0,3 user reviews,1,2,3,,1,2
15810,0,1 user reviews,0,1,1,,1,1
15900,6,Mostly Positive,158,40,198,,158,40
15902,0,1 user reviews,0,1,1,,93,30
15910,5,Mixed,23,10,33,,23,10
15912,0,1 user reviews,0,1,1,,8,3
15920,5,Mixed,17,23,40,,17,23
15922,0,1 user reviews,0,1,1,,8,15
15930,8,Very Positive,172,18,190,127,172,18
15932,0,1 user reviews,0,1,1,,60,14
15952,0,2 user reviews,0,2,2,,38,17
15960,5,Mixed,79,42,121,,79,42
15962,0,1 user reviews,0,1,1,,76,36
15970,5,Mixed,77,36,113,103,77,36
15972,0,2 user reviews,1,1,2,,30,16
16000,5,Mixed,30,38,68,,30,38
16002,0,1 user reviews,0,1,1,,20,32
16020,5,Mixed,50,34,84,,50,34
16022,0,1 user reviews,0,1,1,,30,23
16030,6,Mostly Positive,104,38,142,,104,38
16032,0,1 user reviews,0,1,1,,62,26
16040,8,Very Positive,93,22,115,,93,22
16042,0,1 user reviews,0,1,1,,34,15
16060,4,Mostly Negative,38,62,100,,38,62
16062,0,1 user reviews,0,1,1,,27,25
16100,8,Very Positive,123,15,138,128,123,15
16110,8,Very Positive,66,6,72,,66,6
16120,8,Very Positive,173,12,185,163,173,12
16130,8,Very Positive,89,13,102,,89,13
16140,0,2 user reviews,2,0,2,,25,7
16150,0,1 user reviews,1,0,1,,12,3
16160,0,5 user reviews,5,0,5,,49,5
16170,0,1 user reviews,1,0,1,,36,8
16180,8,Very Positive,112,12,124,114,112,12
16190,0,1 user reviews,1,0,1,,32,7
16200,8,Very Positive,54,9,63,,54,9
16210,0,4 user reviews,2,2,4,,22,7
16300,8,Very Positive,108,6,114,111,108,6
16450,8,Very Positive,6773,1155,7928,4468,6775,1157
16470,0,5 user reviews,5,0,5,,3120,481
16500,7,Positive,11,2,13,,11,2
16510,0,1 user reviews,1,0,1,,10,1
16600,8,Very Positive,218,39,257,244,218,39
16610,0,3 user reviews,3,0,3,,170,33
16620,5,Mixed,34,19,53,,34,19
16630,0,4 user reviews,2,2,4,,23,13
16710,6,Mostly Positive,339,115,454,349,339,115
16720,5,Mixed,1521,933,2454,1963,1521,933
16730,5,Mixed,1393,1140,2533,2002,1393,1140
16810,8,Very Positive,1115,170,1285,1042,1115,170
16900,8,Very Positive,17958,2070,20028,17853,17954,2071
17020,8,Very Positive,1409,263,1672,415,987,288
17080,8,Very Positive,6957,1644,8601,,6957,1644
17100,8,Very Positive,355,72,427,388,355,72
17110,0,2 user reviews,1,1,2,,197,38
17120,8,Very Positive,127,24,151,140,127,24
17140,6,Mostly Positive,194,50,244,213,194,50
17180,5,Mixed,25,14,39,,25,14
17330,8,Very Positive,3164,530,3694,3439,3164,530
17390,8,Very Positive,56786,4712,61498,56219,56776,4718
17410,8,Very Positive,31919,4542,36461,28597,31918,4542
17440,8,Very Positive,1727,205,1932,1802,1728,205
17460,8,Very Positive,15294,1028,16322,14638,15295,1028
17470,8,Very Positive,24702,2238,26940,20835,24703,2238
17480,8,Very Positive,12124,2082,14206,12912,12123,2083
17500,8,Very Positive,6481,1185,7666,,6483,1184
17570,8,Very Positive,5134,721,5855,,5134,721
17580,8,Very Positive,911,160,1071,,911,160
17710,6,Mostly Positive,1917,530,2447,1587,1917,530
17740,8,Very Positive,889,139,1028,,889,139
18000,8,Very Positive,447,58,505,333,447,58
18010,0,2 user reviews,1,1,2,,396,42
18020,8,Very Positive,156,30,186,132,156,30
18030,0,1 user reviews,1,0,1,,122,24
18040,8,Very Positive,826,50,876,600,826,50
18050,8,Very Positive,234,33,267,169,234,33
18070,6,Mostly Positive,194,52,246,123,194,52
18100,0,No user reviews,0,0,0,,0,0
18110,8,Very Positive,420,74,494,313,420,74
18120,6,Mostly Positive,228,64,292,203,228,64
18300,6,Mostly Positive,375,114,489,427,375,115
18400,5,Mixed,121,135,256,116,121,135
18420,8,Very Positive,151,33,184,104,151,33
