app_id,review_score,review_score_description,positive,negative,total,recommendations,steamspy_positive,steamspy_negative
1473220,7,Positive,23,1,24,,23,1
1473250,5,Mixed,860,404,1264,,0,0
1473260,0,No user reviews,0,0,0,,0,0
1473270,5,Mixed,29,18,47,,29,18
1473290,7,Positive,16,1,17,,0,0
1473350,9,Overwhelmingly Positive,5651,210,5861,5649,5647,209
1473380,0,No user reviews,0,0,0,,0,0
1473390,0,9 user reviews,9,0,9,,0,0
1473420,5,Mixed,12,7,19,,12,7
1473460,0,No user reviews,0,0,0,,0,0
1473490,0,No user reviews,0,0,0,,0,0
1473500,0,1 user reviews,0,1,1,,0,1
1473540,0,8 user reviews,8,0,8,,8,0
1473550,8,Very Positive,47,4,51,,47,4
1473560,0,No user reviews,0,0,0,,0,0
1473630,5,Mixed,7,7,14,,0,0
1473640,0,4 user reviews,4,0,4,,4,0
1473650,0,7 user reviews,5,2,7,,5,2
1473660,8,Very Positive,51,4,55,,51,4
1473740,5,Mixed,22,15,37,,22,15
1473750,0,No user reviews,0,0,0,,0,0
1473760,6,Mostly Positive,19,6,25,,19,6
1473790,0,No user reviews,0,0,0,,0,0
1473820,7,Positive,27,4,31,,27,4
1473830,0,No user reviews,0,0,0,,0,0
1473840,7,Positive,33,1,34,,33,1
1473850,0,1 user reviews,0,1,1,,0,1
1473870,7,Positive,20,5,25,,20,5
1473880,7,Positive,35,6,41,,0,0
1473900,0,No user reviews,0,0,0,,0,0
1473920,7,Positive,19,4,23,,0,0
1473930,7,Positive,8,2,10,,8,2
1473940,5,Mixed,19,12,31,,0,0
1473990,0,No user reviews,0,0,0,,0,0
1474000,5,Mixed,16,14,30,,16,14
1474040,0,No user reviews,0,0,0,,0,0
1474050,0,No user reviews,0,0,0,,0,0
1474060,0,No user reviews,0,0,0,,0,0
1474090,8,Very Positive,470,35,505,,0,0
1474100,6,Mostly Positive,27,10,37,,0,0
1474110,0,8 user reviews,7,1,8,,0,0
1474120,8,Very Positive,82,3,85,,0,0
1474130,6,Mostly Positive,10,3,13,,0,0
1474160,7,Positive,10,0,10,,0,0
1474170,0,No user reviews,0,0,0,,0,0
1474190,0,No user reviews,0,0,0,,0,0
1474200,8,Very Positive,208,37,245,235,207,37
1474210,0,No user reviews,0,0,0,,0,0
1474220,6,Mostly Positive,9,3,12,,9,3
1474230,0,No user reviews,0,0,0,,0,0
1474280,0,8 user reviews,7,1,8,,7,1
1474300,7,Positive,13,1,14,,12,1
1474320,0,No user reviews,0,0,0,,0,0
1474370,0,No user reviews,0,0,0,,0,0
1474390,5,Mixed,21,14,35,,21,14
1474420,0,No user reviews,0,0,0,,0,0
1474440,6,Mostly Positive,10,4,14,,10,4
1474480,0,No user reviews,0,0,0,,0,0
1474500,0,No user reviews,0,0,0,,0,0
1474550,7,Positive,25,2,27,,25,2
1474560,0,No user reviews,0,0,0,,0,0
1474570,0,7 user reviews,4,3,7,,4,3
1474580,5,Mixed,6,6,12,,0,0
1474700,6,Mostly Positive,4265,1787,6052,,0,0
1474740,5,Mixed,488,299,787,708,488,299
1474770,8,Very Positive,58,9,67,,58,9
1474790,0,6 user reviews,3,3,6,,3,3
1474840,0,1 user reviews,1,0,1,,1,0
1474850,6,Mostly Positive,15,4,19,,15,4
1474860,7,Positive,20,2,22,,20,2
1474880,6,Mostly Positive,23,6,29,,23,6
1474900,3,Negative,3,16,19,,3,16
1474910,0,No user reviews,0,0,0,,0,0
1474930,5,Mixed,69,55,124,111,67,51
1474940,0,7 user reviews,6,1,7,,6,1
1474950,0,No user reviews,0,0,0,,0,0
1474960,0,No user reviews,0,0,0,,0,0
1474980,0,No user reviews,0,0,0,,0,0
1474990,5,Mixed,12,15,27,,12,15
1475000,0,3 user reviews,3,0,3,,3,0
1475030,0,No user reviews,0,0,0,,0,0
1475080,7,Positive,24,0,24,,24,0
1475100,0,6 user reviews,6,0,6,,6,0
1475120,0,No user reviews,0,0,0,,0,0
1475140,6,Mostly Positive,16,6,22,,16,6
1475150,5,Mixed,10,6,16,,10,6
1475160,5,Mixed,21,15,36,,21,15
1475170,6,Mostly Positive,22,9,31,,22,9
1475180,5,Mixed,16,8,24,,16,8
1475200,8,Very Positive,61,15,76,,61,15
1475250,0,2 user reviews,2,0,2,,2,0
1475260,7,Positive,14,2,16,,14,2
1475280,0,3 user reviews,3,0,3,,0,0
1475300,0,No user reviews,0,0,0,,0,0
1475310,0,No user reviews,0,0,0,,0,0
1475330,6,Mostly Positive,10,3,13,,0,0
1475350,7,Positive,10,0,10,,10,0
1475370,0,No user reviews,0,0,0,,0,0
1475380,8,Very Positive,7998,601,8599,,7998,601
1475400,6,Mostly Positive,709,202,911,,711,203
1475410,0,No user reviews,0,0,0,,0,0
1475420,7,Positive,20,0,20,,20,0
1475430,5,Mixed,285,177,462,452,285,177
1475440,8,Very Positive,47,3,50,,47,3
1475450,0,No user reviews,0,0,0,,0,0
1475460,8,Very Positive,181,28,209,181,181,28
1475470,0,1 user reviews,1,0,1,,1,0
1475480,0,No user reviews,0,0,0,,0,0
1475520,0,8 user reviews,8,0,8,,0,0
1475550,0,2 user reviews,2,0,2,,0,0
1475600,0,3 user reviews,1,2,3,,1,2
1475650,7,Positive,16,2,18,,16,2
1475670,0,7 user reviews,4,3,7,,4,3
1475690,0,No user reviews,0,0,0,,0,0
1475700,0,6 user reviews,6,0,6,,6,0
1475720,0,No user reviews,0,0,0,,0,0
1475730,0,No user reviews,0,0,0,,0,0
1475740,5,Mixed,11,8,19,,11,8
1475760,0,No user reviews,0,0,0,,0,0
1475770,0,2 user reviews,2,0,2,,2,0
1475780,7,Positive,20,0,20,,20,0
1475800,0,8 user reviews,8,0,8,,0,0
1475810,8,Very Positive,14461,3149,17610,10217,14460,3150
1475820,0,No user reviews,0,0,0,,0,0
1475840,8,Very Positive,610,37,647,511,609,37
1475850,6,Mostly Positive,316,99,415,301,316,99
1475860,0,No user reviews,0,0,0,,0,0
1475890,7,Positive,37,5,42,,37,5
1475900,0,No user reviews,0,0,0,,0,0
1475930,0,No user reviews,0,0,0,,0,0
1475940,0,No user reviews,0,0,0,,0,0
1475960,7,Positive,41,1,42,,41,1
1475970,7,Positive,19,4,23,,19,4
1476000,0,6 user reviews,4,2,6,,0,0
1476020,0,No user reviews,0,0,0,,0,0
1476040,0,No user reviews,0,0,0,,0,0
1476080,6,Mostly Positive,31,13,44,,31,13
1476100,7,Positive,33,6,39,,33,6
1476130,0,No user reviews,0,0,0,,0,0
1476140,0,4 user reviews,2,2,4,,2,2
1476160,0,2 user reviews,1,1,2,,1,1
1476170,5,Mixed,140,73,213,156,139,73
1476220,0,6 user reviews,6,0,6,,6,0
1476230,6,Mostly Positive,73,23,96,,73,23
1476290,0,2 user reviews,0,2,2,,0,2
1476320,0,No user reviews,0,0,0,,0,0
1476330,5,Mixed,11,5,16,,11,5
1476340,9,Overwhelmingly Positive,1474,64,1538,1455,1474,63
1476350,8,Very Positive,214,18,232,187,214,18
1476380,0,No user reviews,0,0,0,,0,0
1476390,0,4 user reviews,2,2,4,,2,2
1476400,0,No user reviews,0,0,0,,0,0
1476410,0,6 user reviews,6,0,6,,6,0
1476420,5,Mixed,11,6,17,,11,6
1476430,8,Very Positive,127,7,134,,127,7
1476450,6,Mostly Positive,53,14,67,,0,0
1476520,6,Mostly Positive,1107,406,1513,1408,1059,356
1476680,8,Very Positive,71,11,82,,71,11
1476690,5,Mixed,17,13,30,,17,13
1476710,0,No user reviews,0,0,0,,0,0
1476720,0,7 user reviews,5,2,7,,5,2
1476750,0,2 user reviews,2,0,2,,2,0
1476760,7,Positive,43,3,46,,43,3
1476790,0,No user reviews,0,0,0,,0,0
1476800,7,Positive,38,1,39,,38,1
1476830,3,Negative,2,9,11,,2,9
1476850,0,3 user reviews,1,2,3,,1,2
1476870,0,3 user reviews,3,0,3,,3,0
1476880,0,No user reviews,0,0,0,,0,0
1476920,6,Mostly Positive,31,12,43,,31,12
1476930,0,No user reviews,0,0,0,,0,0
1476940,5,Mixed,4,6,10,,4,6
1476950,0,9 user reviews,7,2,9,,7,2
1476970,6,Mostly Positive,14128,3918,18046,,14122,3913
1477000,0,7 user reviews,7,0,7,,7,0
1477010,6,Mostly Positive,13,4,17,,12,4
1477020,5,Mixed,121,61,182,125,57,41
1477040,0,No user reviews,0,0,0,,0,0
1477050,6,Mostly Positive,63,18,81,,63,18
1477060,8,Very Positive,422,104,526,291,0,0
1477070,8,Very Positive,4664,330,4994,4479,4656,330
1477090,0,No user reviews,0,0,0,,0,0
1477120,0,3 user reviews,1,2,3,,1,2
1477130,8,Very Positive,91,6,97,,91,6
1477170,8,Very Positive,93,8,101,,93,8
1477200,0,No user reviews,0,0,0,,0,0
1477250,0,4 user reviews,4,0,4,,4,0
1477290,0,No user reviews,0,0,0,,0,0
1477300,0,6 user reviews,2,4,6,,2,4
1477310,0,No user reviews,0,0,0,,0,0
1477320,0,8 user reviews,5,3,8,,5,3
1477330,8,Very Positive,519,47,566,549,519,47
1477380,0,No user reviews,0,0,0,,0,0
1477390,0,4 user reviews,4,0,4,,0,0
1477420,0,No user reviews,0,0,0,,0,0
1477440,0,6 user reviews,5,1,6,,5,1
1477450,0,3 user reviews,2,1,3,,2,1
1477460,5,Mixed,31,44,75,,0,0
1477470,0,No user reviews,0,0,0,,0,0
1477560,0,3 user reviews,3,0,3,,3,0
1477570,5,Mixed,72,59,131,,72,59
1477590,8,Very Positive,5021,563,5584,5302,5019,561
1477610,8,Very Positive,242,26,268,,0,0
1477640,0,5 user reviews,3,2,5,,3,2
1477650,5,Mixed,27,24,51,,27,24
1477660,0,1 user reviews,1,0,1,,1,0
1477700,5,Mixed,246,173,419,372,244,173
1477710,0,No user reviews,0,0,0,,0,0
1477760,0,No user reviews,0,0,0,,0,0
1477770,6,Mostly Positive,244,71,315,277,243,71
1477790,8,Very Positive,1841,106,1947,1496,1845,105
1477810,8,Very Positive,1262,115,1377,1312,0,0
1477830,8,Very Positive,3596,500,4096,3788,3596,498
1477850,0,2 user reviews,2,0,2,,2,0
1477870,6,Mostly Positive,15,4,19,,15,4
1477880,7,Positive,16,4,20,,16,4
