attribute_type,attribute,winner_count,winner_share,baseline_count,baseline_share,lift,log_odds_weight
tag,Clicker,6,0.03922,2596,0.04943,0.793,-0.2316
tag,Casual,104,0.35948,38032,0.45656,0.787,-0.2391
tag,1980s,5,0.03595,2294,0.04596,0.782,-0.2458
tag,Point & Click,13,0.06209,5244,0.07986,0.778,-0.2516
tag,LGBTQ+,5,0.03595,2435,0.04758,0.755,-0.2804
tag,Turn-Based Combat,7,0.04248,3268,0.05715,0.743,-0.2966
tag,Hand-drawn,13,0.06209,5618,0.08415,0.738,-0.304
tag,Relaxing,24,0.09804,10384,0.13891,0.706,-0.3485
tag,Retro,21,0.08824,9254,0.12593,0.701,-0.3557
tag,Choose Your Own Adventure,8,0.04575,4015,0.06574,0.696,-0.3624
tag,Cartoony,15,0.06863,7090,0.10107,0.679,-0.3871
tag,Top-Down Shooter,5,0.03595,2921,0.05317,0.676,-0.3914
tag,Score Attack,5,0.03595,3094,0.05516,0.652,-0.4281
tag,Visual Novel,14,0.06536,7068,0.10081,0.648,-0.4334
tag,Colorful,34,0.13072,16430,0.20837,0.627,-0.4663
tag,2D Platformer,14,0.06536,7605,0.10698,0.611,-0.4928
tag,Interactive Fiction,6,0.03922,4123,0.06698,0.586,-0.5353
tag,Cartoon,6,0.03922,4167,0.06748,0.581,-0.5428
tag,Arcade,21,0.08824,11830,0.15552,0.567,-0.5668
tag,Action-Adventure,21,0.08824,11881,0.15611,0.565,-0.5706
tag,Top-Down,14,0.06536,8440,0.11658,0.561,-0.5786
tag,Old School,5,0.03595,4314,0.06917,0.52,-0.6545
tag,Minimalist,8,0.04575,6190,0.09073,0.504,-0.6846
tag,3D,31,0.12092,20933,0.26011,0.465,-0.766
tag,Combat,6,0.03922,9123,0.12442,0.315,-1.1546
tag,Stylized,6,0.03922,9315,0.12663,0.31,-1.1722
