app_id,language
2120,Portuguese
2120,Russian
2120,Traditional Chinese
2120,Simplified Chinese
2120,Spanish
2120,Thai
2200,English
2210,English
2270,English
2310,English
2310,French
2310,Italian
2310,German
2310,Spanish - Spain
2310,Russian
2320,English
2320,French
2320,Italian
2320,German
2320,Spanish - Spain
2320,Russian
2360,English
2370,English
2390,English
2400,English
2400,French
2400,German
2400,Italian
2400,Spanish - Spain
2400,Polish
2400,Russian
2400,Japanese
2420,English
2420,French
2420,German
2420,Italian
2420,Spanish - Spain
2420,Polish
2420,Russian
2420,Japanese
2450,English
2500,English
2510,English
2520,English
2520,Polish
2520,Russian
2540,English
2590,English
2600,English
2600,French
2600,German
2610,English
2620,English
2620,German
2630,English
2630,French
2630,German
2630,Italian
2630,Spanish - Spain
2640,English
2640,French
2640,Italian
2700,English
2700,French
2700,Italian
2700,German
2700,Spanish - Spain
2700,Danish
2700,Dutch
2700,Finnish
2700,Norwegian
2700,Swedish
2710,English
2720,English
2730,English
2800,English
2800,French
2800,German
2800,Italian
2800,Spanish - Spain
2800,Czech
2800,Polish
2800,Russian
2810,English
2810,French
2810,German
2810,Spanish - Spain
2810,Italian
2810,Russian
2810,Simplified Chinese
2810,Traditional Chinese
2810,Czech
2810,Polish
2820,English
2820,French
2820,German
2820,Italian
2820,Russian
2820,Polish
2820,Simplified Chinese
2820,Traditional Chinese
2820,Czech
2820,Spanish - Spain
2820,Japanese
2840,English
2840,German
2850,English
2850,German
2870,English
2870,German
2870,Italian
2870,Russian
2870,Simplified Chinese
2870,Traditional Chinese
2870,French
2870,Korean
2900,English
2910,English
2920,English
2990,English
2990,French
2990,German
2990,Italian
2990,Spanish - Spain
2990,Czech
2990,Hungarian
2990,Polish
2990,Russian
3010,English
3020,English
3020,French
3020,German
3020,Spanish - Spain
3020,Russian
3050,English
3130,English
3130,Russian
3130,German
3130,French
3170,English
3170,Russian
3170,French
3170,German
3170,Spanish - Spain
3170,Italian
3170,Japanese
3190,English
3230,English
3260,English
3260,German
3260,Italian
3260,Spanish - Spain
3270,English
3270,German
3280,English
3300,English
3300,French
3300,German
3300,Italian
3300,Spanish - Spain
3302,English
3302,French
3302,German
3302,Italian
3302,Spanish
3310,English
3310,French
3310,German
3310,Italian
3310,Spanish - Spain
3312,English
3312,French
3312,German
3312,Italian
3312,Spanish - Spain
3320,English
3322,English
3322,French
3322,German
3322,Italian
3322,Spanish - Spain
3330,English
3330,French
3330,German
3330,Italian
3330,Spanish - Spain
3332,English
3332,French
3332,German
3332,Italian
3332,Spanish - Spain
3340,English
3342,English
3350,English
3352,English
3360,English
3362,English
3380,English
3382,English
3390,English
3392,English
3400,English
3410,English
3412,English
3420,English
3422,English
3430,English
3432,English
3450,English
3452,English
3460,English
3462,English
3480,English
3480,French
3480,Italian
3480,German
3480,Spanish - Spain
3482,English
3483,English
3490,English
3500,English
3502,English
3510,English
3512,English
3520,English
3522,English
3530,English
3532,English
3540,English
3560,English
3562,English
3570,English
3572,English
3580,English
3582,English
3590,English
3592,English
3600,English
3602,English
3610,English
3612,English
3620,English
3622,English
3700,English
3700,French
3700,German
3700,Italian
3700,Spanish - Spain
3710,English
3720,English
3720,French
3720,German
3720,Spanish - Spain
3730,English
3730,Dutch
3730,French
3730,German
3730,Spanish - Spain
3800,English
3810,English
3820,English
3830,English
3830,French
3830,German
3850,English
3900,English
3900,French
3900,German
3900,Italian
3900,Spanish - Spain
3910,English
3920,English
3960,English
3980,English
3980,French
3980,Spanish - Spain
3990,English
3990,French
3990,German
3990,Italian
3990,Spanish - Spain
4000,English
4000,French
4000,Italian
4000,German
4000,Spanish - Spain
4000,Bulgarian
4000,Czech
4000,Danish
4000,Dutch
4000,Finnish
4000,Greek
4000,Hungarian
4000,Japanese
4000,Korean
4000,Norwegian
4000,Polish
4000,Portuguese - Portugal
4000,Portuguese - Brazil
4000,Russian
4000,Simplified Chinese
4000,Swedish
4000,Thai
4000,Traditional Chinese
4000,Turkish
4000,Ukrainian
4100,English
4102,English
4230,English
4230,French
4230,German
4230,Italian
4230,Spanish - Spain
4260,English
4260,French
4260,German
4260,Italian
4260,Spanish - Spain
4290,English
4300,English
4300,French
4300,German
4300,Italian
4300,Japanese
4300,Korean
4300,Traditional Chinese
4300,Simplified Chinese
4300,Spanish - Spain
4310,English
4310,French
4310,German
4310,Italian
4310,Japanese
4310,Korean
4310,Traditional Chinese
4310,Simplified Chinese
4310,Spanish - Spain
4420,English
4420,French
4420,German
4420,Italian
4420,Spanish - Spain
4440,English
4460,English
4460,French
4460,German
4470,English
4470,French
4470,German
4500,English
4500,French
4500,Italian
4500,Spanish - Spain
4500,German
4500,Russian
4500,Ukrainian
4500,Polish
4500,Traditional Chinese
4520,English
4520,French
4520,Italian
4520,Spanish - Spain
4520,Korean
4520,German
4530,English
4530,French
4530,Italian
4530,Spanish - Spain
4530,German
4560,English
4560,French
4560,Spanish - Spain
4560,Italian
4560,German
4560,Czech
4560,Japanese
4560,Korean
4560,Polish
4560,Russian
4560,Traditional Chinese
4570,English
4570,French
4570,German
4570,Italian
4570,Spanish - Spain
4580,English
4580,French
4580,German
4580,Italian
4580,Spanish - Spain
4700,English
4700,French
4700,Italian
4700,German
4700,Spanish - Spain
4700,Czech
4700,Hungarian
4700,Polish
4700,Russian
4710,English
4720,English
4720,German
4720,French
4720,Italian
4720,Spanish - Spain
4760,English
4770,English
4780,English
4800,English
4800,French
4800,German
4800,Russian
4810,English
4810,French
4810,German
4810,Russian
4850,English
4850,French
4850,German
4850,Russian
4870,English
4880,English
4890,English
4890,Russian
4900,English
4920,English
4920,French
4920,German
4920,Spanish - Spain
4920,Polish
4920,Russian
4920,Finnish
4920,Romanian
4920,Swedish
4920,Czech
6000,English
6000,French
6000,German
6000,Spanish - Spain
6010,English
6020,English
6020,French
6020,German
6020,Spanish - Spain
6030,English
6030,French
6030,German
6030,Spanish - Spain
6030,Traditional Chinese
6040,English
6040,French
6040,Italian
6040,German
6040,Spanish - Spain
6060,English
6080,English
6080,French
6080,German
6080,Italian
6080,Spanish - Spain
6090,English
6090,French
6090,German
6090,Italian
6090,Spanish - Spain
6120,English
6200,English
6200,French
6200,German
6200,Italian
6210,English
6220,English
6220,French
6220,German
6220,Italian
6220,Spanish - Spain
6220,Czech
6220,Hungarian
6220,Polish
6220,Russian
6230,English
6230,French
6230,Italian
6230,Spanish - Spain
6250,English
6260,English
6270,English
6270,French
6270,Spanish - Spain
6300,English
6310,English
6320,English
6370,English
6370,French
6370,German
6370,Spanish - Spain
6400,English
6400,French
6400,German
6400,Italian
6400,Spanish - Spain
6410,English
6420,English
6420,French
6420,Italian
6420,German
6420,Russian
6420,Hungarian
6510,English
6510,French
6510,German
6510,Italian
6510,Spanish - Spain
6510,Japanese
6510,Korean
6580,English
6600,English
6800,English
6810,English
6830,English
6830,German
6840,English
6850,English
6860,English
6870,English
6870,French
6870,German
6870,Italian
6870,Spanish - Spain
6880,English
6880,French
6880,German
6880,Italian
6880,Spanish - Spain
6900,English
6900,French
6900,Italian
6900,German
6900,Spanish - Spain
6910,English
6920,English
6930,English
6940,English
6950,English
6980,English
7000,English
7000,French
7000,Italian
7000,German
7000,Spanish - Spain
7010,English
7020,English
7020,French
7020,German
7020,Italian
7020,Spanish - Spain
7030,English
7050,English
7110,English
7110,French
7110,German
7110,Italian
7110,Spanish - Spain
7200,English
7200,French
7200,German
7200,Italian
7200,Spanish - Spain
7200,Portuguese - Portugal
7200,Japanese
7200,Traditional Chinese
7200,Korean
7200,Dutch
7200,Russian
7200,Hungarian
7200,Czech
7200,Polish
7210,English
7210,French
7220,English
7220,French
7230,English
7260,English
7280,English
7340,English
7510,English
7510,French
7510,German
7510,Italian
7510,Spanish - Spain
7520,English
7520,French
7520,German
7520,Italian
7520,Spanish - Spain
7520,Czech
7520,Polish
7520,Russian
7530,English
7530,French
7530,German
7530,Italian
7530,Russian
7530,Spanish - Spain
7600,English
7600,French
7600,German
7600,Italian
7600,Spanish - Spain
7610,English
7610,French
7610,German
7610,Italian
7610,Spanish - Spain
7620,English
7650,English
7650,French
7650,German
7650,Spanish - Spain
7660,English
7670,English
7670,French
7670,German
7670,Italian
7670,Spanish - Spain
7710,English
7710,French
7710,Italian
7710,Spanish - Spain
7730,English
7760,English
7770,English
7800,English
7800,French
7800,German
7800,Spanish - Spain
7800,Russian
7800,Simplified Chinese
7830,English
7830,Russian
7830,French
7830,Italian
7830,Spanish - Spain
7830,German
7840,English
7840,German
7840,French
7840,Spanish - Spain
7840,Italian
7860,English
7860,French
7860,German
7860,Spanish - Spain
7860,Italian
7860,Russian
7860,Hungarian
7860,Czech
7860,Polish
7890,English
7940,English
7940,French
7940,German
7940,Italian
7940,Spanish - Spain
8000,English
8000,French
8000,German
8000,Italian
8000,Spanish - Spain
8030,English
8030,French
8030,German
8030,Italian
8030,Spanish - Spain
8080,English
8080,French
8080,German
8080,Italian
8080,Spanish - Spain
8090,English
8100,English
8100,Spanish - Spain
8100,French
8100,Italian
8140,English
8140,French
8140,Italian
8140,German
8140,Spanish - Spain
8150,English
8150,French
8150,Italian
8150,German
8150,Spanish - Spain
8170,English
8170,French
8170,German
8170,Italian
8170,Spanish - Spain
8180,English
8180,French
8180,German
8180,Italian
8180,Spanish - Spain
8190,English
8190,French
8190,German
8190,Italian
8190,Spanish - Spain
8190,Polish
8190,Russian
8310,English
8320,English
8330,English
8400,English
8500,English
8500,German
8500,Russian
8500,French
8500,Korean
8500,Japanese
8500,Spanish - Spain
8500,Simplified Chinese
8600,English
8600,French
8600,German
8600,Italian
8600,Spanish - Spain
8700,English
8700,French
8700,German
8700,Italian
8700,Spanish - Spain
8720,English
8760,English
8760,French
8760,German
8760,Italian
8760,Spanish
8790,English
8800,English
8800,French
8800,German
8800,Italian
8800,Spanish - Spain
8820,English
8820,French
8820,German
8820,Italian
8820,Spanish
8850,English
8850,French
8850,German
8850,Italian
8850,Spanish - Spain
8870,English
8870,French
8870,German
8870,Italian
8870,Spanish - Spain
8870,Polish
8870,Portuguese - Brazil
8870,Russian
8870,Japanese
8870,Korean
8870,Traditional Chinese
8880,English
8890,English
8900,English
8910,English
8930,English
8930,French
8930,German
8930,Italian
8930,Spanish - Spain
8930,Polish
8930,Japanese
8930,Korean
8930,Russian
8930,Traditional Chinese
8970,English
8970,French
8970,German
8970,Italian
8970,Spanish - Spain
