app_id,name,developer,publisher,composite_score,tier,recognition_pct,headroom_pct,fit_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,metacritic_score,has_controller_support,is_indie,has_coop,has_multiplayer,release_year,genres,tags,screen_review_total_ge_4000,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_has_controller_support,screen_gamepass_availability
1659420,UNCHARTED™: Legacy of Thieves Collection,"Naughty Dog LLC, Iron Galaxy Studios",PlayStation Publishing LLC,0.9069,Anchor,0.9538,0.8489,0.9039,24060,0.8992,Very Positive,"500,000 .. 1,000,000",750000.0,49.99,,True,False,False,False,2022,Adventure,Action|Action-Adventure|Adventure|Atmospheric|Cinematic|Combat|Controller|Exploration|Female Protagonist|Funny|Multiplayer|Parkour|Platformer|Puzzle|Shooter,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1931770,Chants of Sennaar,Rundisc,Focus Entertainment,0.9062,Anchor,0.8752,0.9588,0.8514,17036,0.9837,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,12.99,86,True,True,False,False,2023,Adventure|Indie,Action-Adventure|Adventure|Atmospheric|Colorful|Detective|Difficult|Exploration|Great Soundtrack|Indie|Mystery|Mythology|Point & Click|Puzzle|Puzzle Platformer|Relaxing,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1144400,Senren＊Banka,YUZUSOFT,"HIKARI FIELD, NekoNyan Ltd.",0.9047,Anchor,0.9688,0.8976,0.613,26756,0.9899,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,34.99,,True,False,False,False,2020,Adventure|Casual,Action|Adventure|Anime|Casual|Choices Matter|Comedy|Cute|Dating Sim|Family Friendly|First-Person|Great Soundtrack|Multiple Endings|NSFW|RPG|Romance,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
2218750,Halls of Torment,Chasing Carrots,Chasing Carrots,0.903,Anchor,0.9613,0.8652,0.7628,24864,0.9589,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,4.99,88,True,True,False,False,2024,Action|Indie|RPG,2D|Action|Action RPG|Action Roguelike|Arcade|Atmospheric|Bullet Hell|Dark|Dark Fantasy|Demons|Fantasy|Gothic|Hack and Slash|Medieval|Pixel Graphics,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1880330,Sanfu,Shiying Studio,Gamera Games,0.9018,Depth,0.8608,0.9513,0.9089,15929,0.8253,Very Positive,"200,000 .. 500,000",350000.0,10.99,,True,True,False,False,2023,Adventure|Indie|RPG,2D|Adventure|Atmospheric|Colorful|Crime|Detective|Drama|Emotional|Fantasy|Hand-drawn|Investigation|Mystery|Old School|Puzzle|Puzzle Platformer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
578650,The Outer Worlds,Obsidian Entertainment,Private Division,0.9006,Anchor,0.9638,0.8727,0.6966,25181,0.8375,Very Positive,"500,000 .. 1,000,000",750000.0,29.99,82,True,False,False,False,2020,RPG,Action|Action RPG|Action-Adventure|Adventure|Character Customization|Choices Matter|Colorful|Comedy|Exploration|FPS|First-Person|Funny|Open World|PvE|RPG,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
953490,CARRION,Phobia Game Studio,Devolver Digital,0.9,Anchor,0.96,0.8627,0.7491,24708,0.9453,Very Positive,"500,000 .. 1,000,000",750000.0,19.99,75,True,True,False,False,2020,Action|Adventure|Indie,2D|Action|Adventure|Atmospheric|Blood|Gore|Great Soundtrack|Horror|Indie|Lovecraftian|Mature|Metroidvania|Physics|Pixel Graphics|Platformer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
241600,Rogue Legacy,Cellar Door Games,Cellar Door Games,0.8951,Anchor,0.9076,0.9675,0.5431,18349,0.9272,Very Positive,"200,000 .. 500,000",350000.0,14.99,85,True,True,False,False,2013,Action|Adventure|Indie|RPG,2D|Action|Action Roguelike|Addictive|Adventure|Arcade|Controller|Exploration|Fantasy|Indie|Medieval|Metroidvania|Pixel Graphics|Platformer|RPG,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1237320,Sonic Frontiers,Sonic Team,SEGA,0.8949,Anchor,0.9388,0.9825,0.3246,22080,0.9091,Very Positive,"200,000 .. 500,000",350000.0,59.99,,True,False,False,False,2022,Action|Adventure,3D|3D Platformer|Action|Action RPG|Action-Adventure|Adventure|Colorful|Combat|Comedy|Exploration|Fantasy|Fast-Paced|Great Soundtrack|Lore-Rich|Mature,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1703340,The Stanley Parable: Ultra Deluxe,Crows Crows Crows,Crows Crows Crows,0.8901,Anchor,0.9725,0.9051,0.4182,28048,0.9421,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,,True,True,False,False,2022,Adventure|Casual|Indie,3D|Adventure|Atmospheric|Casual|Choices Matter|Comedy|Dark Humor|Emotional|Exploration|First-Person|Funny|Game Development|Horror|Multiple Endings|Mystery,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
2321470,Deep Rock Galactic: Survivor,Funday Games,Ghost Ship Publishing,0.8896,Anchor,0.975,0.9164,0.3558,29128,0.855,Very Positive,"500,000 .. 1,000,000",750000.0,9.99,,True,False,False,False,,Action|Early Access,Action|Action Roguelike|Aliens|Arcade|Arena Shooter|Atmospheric|Bullet Hell|Combat|Dark|Dwarf|Early Access|Procedural Generation|PvE|Roguelite|Sci-fi,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1465360,SnowRunner,Saber Interactive,Focus Entertainment,0.8854,Anchor,0.9913,0.96,0.0574,36679,0.8951,Very Positive,"500,000 .. 1,000,000",750000.0,14.99,,True,False,True,True,2021,Adventure|Simulation,ATV|Adventure|Atmospheric|Automobile Sim|Driving|Exploration|First-Person|Immersive Sim|Multiplayer|Nature|Open World|Physics|PvE|Racing|Realistic,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1462040,FINAL FANTASY VII REMAKE INTERGRADE,Square Enix,Square Enix,0.8834,Anchor,0.9788,0.9213,0.2547,29367,0.8892,Very Positive,"500,000 .. 1,000,000",750000.0,69.99,,True,False,False,False,,Action|Adventure|RPG,3D|3D Platformer|Action|Action RPG|Action-Adventure|Adventure|Cinematic|Controller|Drama|Fantasy|JRPG|Magic|Party-Based RPG|RPG|Realistic,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
242860,Verdun,BlackMill Games,BlackMill Games,0.8818,Anchor,0.9925,0.9625,0.005,37045,0.8609,Very Positive,"500,000 .. 1,000,000",750000.0,14.99,70,True,True,False,True,2015,Action|Indie|Massively Multiplayer|Simulation|Strategy,Action|Atmospheric|Co-op|FPS|First-Person|Gore|Historical|Massively Multiplayer|Military|Multiplayer|PvP|Realistic|Shooter|Simulation|Strategy,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1948280,Stacklands,Sokpop Collective,Sokpop Collective,0.8792,Anchor,0.9563,0.8589,0.5743,24557,0.9653,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,7.99,,True,True,False,False,2022,Casual|Indie|Simulation,2D|Building|Card Battler|Card Game|Casual|City Builder|Colorful|Cute|Deckbuilding|Fantasy|Hand-drawn|Indie|Management|Roguelite|Simulation,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1584090,Touhou Mystia's Izakaya,"二色幽紫蝶, Re零同人社","二色幽紫蝶, Re零同人社",0.8755,Anchor,0.9488,0.8352,0.6704,23399,0.9864,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,4.79,,True,True,False,False,2021,Casual|Indie|RPG|Simulation,1990's|2D|Anime|Capitalism|Cartoon|Casual|Clicker|Comedy|Cooking|Drama|Economy|Faith|Female Protagonist|JRPG|Old School,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
736260,Baba Is You,Hempuli Oy,Hempuli Oy,0.8729,Anchor,0.9326,0.7665,1.0,20757,0.978,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,14.99,87,True,True,False,False,2019,Indie,2D|Atmospheric|Casual|Cute|Difficult|Funny|Great Soundtrack|Indie|Level Editor|Logic|Minimalist|Pixel Graphics|Programming|Puzzle|Retro,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
406150,Refunct,Dominique Grieshofer,Dominique Grieshofer,0.8697,Low-cost option,0.8826,0.9613,0.4382,17257,0.9586,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,2.99,,True,True,False,False,2015,Adventure|Casual|Indie,3D Platformer|Adventure|Atmospheric|Beautiful|Casual|Colorful|Cute|Exploration|Family Friendly|First-Person|Great Soundtrack|Open World|Parkour|Platformer|Puzzle Platformer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
362930,Garfield Kart,Artefacts Studio,Microids,0.868,Low-cost option,0.8115,0.9925,0.6529,14014,0.8773,Very Positive,"100,000 .. 200,000",150000.0,4.99,,True,False,False,False,,Racing,Action|Aliens|Beautiful|Capitalism|Casual|Classic|Co-op|Combat Racing|Comedy|Competitive|Cult Classic|Cute|Family Friendly|Multiplayer|Platformer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
774181,Rhythm Doctor,7th Beat Games,"7th Beat Games, indienova",0.8679,Anchor,0.9301,0.7591,0.9925,20321,0.9844,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,15.99,,True,True,True,True,2021,Early Access|Indie,2D|Action|Adventure|Anime|Arcade|Co-op|Comedy|Cute|Early Access|Funny|Indie|Level Editor|Local Co-Op|Local Multiplayer|Modern,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
858210,Nova Drift,Chimeric,Pixeljam,0.8672,Depth,0.779,0.9913,0.8115,12772,0.9565,Overwhelmingly Positive,"100,000 .. 200,000",150000.0,17.99,,True,True,False,False,2024,Action|Indie,2D|Action|Action RPG|Action Roguelike|Arcade|Arena Shooter|Bullet Hell|Casual|Colorful|Early Access|Great Soundtrack|Indie|Replay Value|Retro|Roguelike,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
384190,ABZU,Giant Squid,505 Games,0.8642,Anchor,0.9663,0.8764,0.3046,25304,0.929,Very Positive,"500,000 .. 1,000,000",750000.0,19.99,83,True,True,False,False,2016,Adventure|Casual|Indie|Simulation,Adventure|Atmospheric|Beautiful|Casual|Colorful|Controller|Exploration|Family Friendly|Fantasy|Great Soundtrack|Indie|Open World|Relaxing|Short|Simulation,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
813230,ANIMAL WELL,Billy Basso,Bigmode,0.8642,Anchor,0.8102,0.9263,0.8851,13990,0.9588,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,24.99,91,True,True,False,False,2024,Action|Adventure|Indie,2D|Action|Adventure|Atmospheric|Controller|Cute|Exploration|Horror|Indie|Metroidvania|Mystery|Nonlinear|Pixel Graphics|Platformer|Puzzle,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
493490,City Car Driving,"Forward Development, Ltd.","Forward Global Group, Ltd.",0.8622,Anchor,0.9713,0.9001,0.1648,27084,0.8193,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,,True,True,False,False,2016,Indie|Racing|Simulation,Adventure|Automobile Sim|Casual|Driving|Education|Family Friendly|First-Person|Horror|Indie|Moddable|Multiplayer|Open World|Physics|Psychological Horror|Racing,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1119730,"Ranch Simulator: Build, Hunt, Farm",Toxic Dog,Excalibur Games,0.8552,Anchor,0.9738,0.9139,0.0275,28925,0.8236,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,,True,False,True,True,2023,Simulation,,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
303210,The Beginner's Guide,Everything Unlimited Ltd.,Everything Unlimited Ltd.,0.8534,Anchor,0.9351,0.7803,0.7378,21206,0.8793,Very Positive,"500,000 .. 1,000,000",750000.0,9.99,,True,True,False,False,2015,Adventure|Indie,Abstract|Adventure|Atmospheric|Dark|Emotional|Experience|Experimental|First-Person|Great Soundtrack|Indie|Narration|Philosophical|Psychological|Psychological Horror|Puzzle,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
