app_id,category_count,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,category_22,category_23
325860,4,Family Sharing,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
325870,5,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,
325880,3,Family Sharing,Full controller support,Single-player,,,,,,,,,,,,,,,,,,,,
325930,13,Co-op,Family Sharing,Full controller support,Multi-player,Online Co-op,Remote Play on TV,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,
326060,5,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,
326110,8,Co-op,Family Sharing,Full controller support,Multi-player,Remote Play Together,Shared/Split Screen,Single-player,Steam Cloud,,,,,,,,,,,,,,,
326120,5,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,
326130,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
326150,4,Full controller support,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
326160,10,Co-op,Cross-Platform Multiplayer,MMO,Multi-player,Online Co-op,Online PvP,PvP,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,
326180,5,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,,
326190,5,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,,
326220,3,Co-op,Game demo,Multi-player,,,,,,,,,,,,,,,,,,,,
326230,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
326260,6,Full controller support,Game demo,Single-player,Steam Achievements,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,,
326340,15,Co-op,Family Sharing,Full controller support,Multi-player,Online Co-op,Online PvP,PvP,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,
326360,9,Cross-Platform Multiplayer,In-App Purchases,MMO,Multi-player,Online PvP,PvP,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,
326380,3,Family Sharing,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,,
326410,9,Co-op,Cross-Platform Multiplayer,Family Sharing,Full controller support,Multi-player,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,
326420,3,Family Sharing,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,,
326440,5,Co-op,Cross-Platform Multiplayer,Game demo,Multi-player,Single-player,,,,,,,,,,,,,,,,,,
326460,20,Co-op,Family Sharing,Full controller support,In-App Purchases,Includes level editor,Multi-player,Online Co-op,Online PvP,PvP,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player,Stats,Steam Achievements,Steam Leaderboards,Steam Trading Cards,,,
326470,5,Family Sharing,Partial Controller Support,Single-player,Stats,Steam Achievements,,,,,,,,,,,,,,,,,,
326480,4,Family Sharing,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
326520,8,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,
326590,3,Family Sharing,Partial Controller Support,Single-player,,,,,,,,,,,,,,,,,,,,
326650,3,Family Sharing,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,,
326720,7,Family Sharing,Full controller support,Single-player,Stats,Steam Achievements,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,
326730,6,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
326800,3,Game demo,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
326840,7,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,
326950,5,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,,
326960,2,Co-op,Single-player,,,,,,,,,,,,,,,,,,,,,
326990,3,Family Sharing,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,,
327000,3,Family Sharing,Partial Controller Support,Single-player,,,,,,,,,,,,,,,,,,,,
327010,4,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,
327030,17,Family Sharing,Full controller support,Multi-player,Online PvP,PvP,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Shared/Split Screen,Shared/Split Screen PvP,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,Steam Workshop,,,,,,
327060,7,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,
327090,14,Co-op,Cross-Platform Multiplayer,Family Sharing,MMO,Multi-player,Online Co-op,Online PvP,PvP,Remote Play Together,Shared/Split Screen PvP,Single-player,Steam Achievements,Steam Trading Cards,Valve Anti-Cheat enabled,,,,,,,,,
327140,4,SteamVR Collectibles,Tracked Controller Support,VR Only,VR Support,,,,,,,,,,,,,,,,,,,
327150,10,Co-op,Family Sharing,Multi-player,Partial Controller Support,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,
327210,5,Family Sharing,Multi-player,Remote Play Together,Shared/Split Screen,Single-player,,,,,,,,,,,,,,,,,,
327220,6,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
327240,5,Full controller support,Game demo,Single-player,Steam Cloud,Steam Leaderboards,,,,,,,,,,,,,,,,,,
327260,7,Family Sharing,Full controller support,Single-player,Stats,Steam Achievements,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,
327310,6,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
327370,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
327380,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
327390,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
327400,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
327410,6,Steamクラウド,Steamトレーディングカード,Steam実績,シングルプレイヤー,ファミリーシェアリング,部分的コントローラサポート,,,,,,,,,,,,,,,,,
327440,4,Family Sharing,Partial Controller Support,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
327450,3,Captions available,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,
327510,7,Captions available,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,
327560,6,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
327640,2,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,,,
327670,5,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,,
327690,7,Family Sharing,In-App Purchases,Multi-player,Online PvP,Partial Controller Support,Stats,Steam Trading Cards,,,,,,,,,,,,,,,,
327740,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
327760,11,Co-op,Family Sharing,Full controller support,Multi-player,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,
327860,9,Co-op,Family Sharing,Multi-player,Online Co-op,Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,
327870,4,Game demo,Partial Controller Support,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,
327880,9,Family Sharing,Full controller support,Remote Play on TV,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Trading Cards,VR Supported,,,,,,,,,,,,,,
327890,8,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,
327900,5,Game demo,Includes level editor,Single-player,Steam Achievements,Steam Workshop,,,,,,,,,,,,,,,,,,
327910,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
327920,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
327930,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
327940,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
327950,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
327960,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
327980,5,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,
328000,6,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,
328060,7,Co-op,Family Sharing,In-App Purchases,Multi-player,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,
328070,9,Family Sharing,In-App Purchases,Includes level editor,Multi-player,Online PvP,PvP,Stats,Steam Leaderboards,Steam Workshop,,,,,,,,,,,,,,
328080,6,Family Sharing,Includes level editor,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
328100,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328220,3,Family Sharing,Full controller support,Single-player,,,,,,,,,,,,,,,,,,,,
328270,4,Family Sharing,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
328300,1,Game demo,,,,,,,,,,,,,,,,,,,,,,
328310,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328430,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328440,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328450,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328460,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328470,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328500,6,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,,
328510,12,Co-op,Cross-Platform Multiplayer,Family Sharing,Full controller support,Multi-player,Online Co-op,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Single-player,Stats,Steam Cloud,,,,,,,,,,,
328530,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
328550,5,Captions available,Family Sharing,Single-player,Steam Achievements,Steam Cloud,,,,,,,,,,,,,,,,,,
328560,5,Captions available,Game demo,Single-player,Steam Achievements,Steam Cloud,,,,,,,,,,,,,,,,,,
328580,4,Game demo,Partial Controller Support,Shared/Split Screen,Single-player,,,,,,,,,,,,,,,,,,,
328590,9,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,Tracked Controller Support,VR Supported,,,,,,,,,,,,,,
328640,6,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,
328650,6,Family Sharing,Full controller support,Multi-player,Remote Play Together,Shared/Split Screen,Single-player,,,,,,,,,,,,,,,,,
328670,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
328680,4,Family Sharing,Single-player,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
328710,3,Family Sharing,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,,
328730,6,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,,
328740,5,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Leaderboards,,,,,,,,,,,,,,,,,,
328760,5,Captions available,Family Sharing,Single-player,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,,
328780,7,Family Sharing,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,
328830,3,Family Sharing,Includes level editor,Single-player,,,,,,,,,,,,,,,,,,,,
328880,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328890,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
328900,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328920,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328930,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
328940,5,Co-op,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,
328990,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
329000,3,Family Sharing,Partial Controller Support,Single-player,,,,,,,,,,,,,,,,,,,,
329020,5,Cross-Platform Multiplayer,Family Sharing,Multi-player,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,
329040,5,Family Sharing,Single-player,Stats,Steam Achievements,Steam Cloud,,,,,,,,,,,,,,,,,,
329050,6,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
329070,5,Family Sharing,Full controller support,Multi-player,Online PvP,PvP,,,,,,,,,,,,,,,,,,
329110,8,Cross-Platform Multiplayer,In-App Purchases,Multi-player,Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,
329130,8,Family Sharing,Full controller support,Includes level editor,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,Steam Workshop,,,,,,,,,,,,,,,
329190,5,Family Sharing,Full controller support,Single-player,VR Support,VR Supported,,,,,,,,,,,,,,,,,,
329200,3,Family Sharing,Full controller support,Single-player,,,,,,,,,,,,,,,,,,,,
329240,7,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,
329260,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
329280,12,Co-op,Cross-Platform Multiplayer,Family Sharing,Multi-player,Online Co-op,Online PvP,PvP,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Leaderboards,,,,,,,,,,,
329310,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
329320,7,Family Sharing,Multi-player,Partial Controller Support,Remote Play Together,Shared/Split Screen,Single-player,Steam Achievements,,,,,,,,,,,,,,,,
329340,6,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,,
329350,3,Game demo,Partial Controller Support,Single-player,,,,,,,,,,,,,,,,,,,,
329380,7,Family Sharing,Includes level editor,Partial Controller Support,Single-player,Steam Achievements,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,
329430,7,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,
329440,6,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,,,,,,,,,,,,,,,,,
329460,11,Family Sharing,Full controller support,Multi-player,Remote Play on TV,Remote Play Together,Shared/Split Screen,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Leaderboards,,,,,,,,,,,,
329480,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
329500,6,Cross-Platform Multiplayer,Game demo,Multi-player,Single-player,Steam Cloud,Steam Leaderboards,,,,,,,,,,,,,,,,,
329620,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
329630,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
329640,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
329650,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
329670,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
329680,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
329690,4,Family Sharing,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
329770,7,Family Sharing,Includes level editor,Partial Controller Support,Single-player,Steam Trading Cards,VR Support,VR Supported,,,,,,,,,,,,,,,,
329790,5,Cross-Platform Multiplayer,Family Sharing,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,
329830,3,Family Sharing,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,,
329860,10,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,Tracked Controller Support,VR Supported,,,,,,,,,,,,,
329960,7,Captions available,Full controller support,Game demo,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,
329970,5,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Workshop,,,,,,,,,,,,,,,,,,
329980,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
330020,15,Co-op,Family Sharing,Full controller support,Multi-player,Online Co-op,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Single-player,Stats,Steam Achievements,Steam Cloud,,,,,,,,
330100,8,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,Steam Workshop,,,,,,,,,,,,,,,
330180,9,Family Sharing,Full controller support,Multi-player,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,
330270,14,Co-op,Family Sharing,Multi-player,Online Co-op,Online PvP,Partial Controller Support,PvP,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,
330350,4,Family Sharing,Partial Controller Support,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
330370,5,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,,,,,,,,,,,,,,,,,,
330390,6,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
330420,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
330450,4,Multi-player,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
330460,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
330470,3,Family Sharing,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,,
330500,3,Family Sharing,Full controller support,Single-player,,,,,,,,,,,,,,,,,,,,
330520,3,Family Sharing,Partial Controller Support,Single-player,,,,,,,,,,,,,,,,,,,,
330580,12,Co-op,Family Sharing,Multi-player,Online Co-op,Online PvP,Partial Controller Support,PvP,Single-player,Stats,Steam Achievements,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,
330590,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
330620,7,Family Sharing,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Trading Cards,Steam Workshop,,,,,,,,,,,,,,,,
330660,5,Family Sharing,Includes level editor,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,
330670,12,Family Sharing,Full controller support,Multi-player,PvP,Remote Play Together,Shared/Split Screen,Shared/Split Screen PvP,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,
330680,5,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,
330720,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
330770,13,Cross-Platform Multiplayer,Family Sharing,Full controller support,Multi-player,Online PvP,PvP,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Leaderboards,VR Support,VR Supported,,,,,,,,,,
330800,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
330820,9,Family Sharing,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,
330830,5,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,
330840,4,Family Sharing,Full controller support,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,
330880,10,Co-op,Family Sharing,MMO,Multi-player,Online Co-op,Online PvP,Partial Controller Support,PvP,Single-player,Steam Trading Cards,,,,,,,,,,,,,
330990,5,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,,
331120,2,Single-player,VR Support,,,,,,,,,,,,,,,,,,,,,
331160,7,Family Sharing,Multi-player,Partial Controller Support,Remote Play Together,Shared/Split Screen,Single-player,Steam Cloud,,,,,,,,,,,,,,,,
331190,5,Captions available,Family Sharing,Full controller support,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,
331200,6,Co-op,Cross-Platform Multiplayer,Family Sharing,Multi-player,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,
331210,6,Captions available,Commentary available,Family Sharing,Full controller support,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,
331220,9,Family Sharing,Full controller support,Multi-player,Remote Play on TV,Remote Play Together,Shared/Split Screen,Stats,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,
331270,5,Game demo,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,,,,,,,,,,,,,,,,,,
331290,3,Family Sharing,Full controller support,Single-player,,,,,,,,,,,,,,,,,,,,
331340,4,Family Sharing,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
331390,6,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,,
331400,5,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,,,,
331430,4,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,
331440,7,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,
331450,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
331460,7,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,Tracked Controller Support,VR Supported,,,,,,,,,,,,,,,,
331470,4,Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,,,,,,,,,,,,,,,,,,,
331480,8,Captions available,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,
331500,7,Co-op,Family Sharing,Multi-player,Online Co-op,Online PvP,PvP,Single-player,,,,,,,,,,,,,,,,
331510,5,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,,
331570,6,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,,,
331580,3,Partial Controller Support,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,,
331600,7,Family Sharing,Full controller support,Multi-player,Remote Play Together,Shared/Split Screen,Single-player,Steam Achievements,,,,,,,,,,,,,,,,
331610,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
331650,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
331670,13,Co-op,Family Sharing,Multi-player,Partial Controller Support,PvP,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player,Steam Achievements,Steam Cloud,,,,,,,,,,
331690,7,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,
331720,9,Family Sharing,Includes level editor,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,Steam Workshop,,,,,,,,,,,,,,
331750,6,Family Sharing,Full controller support,Multi-player,Remote Play Together,Shared/Split Screen,Single-player,,,,,,,,,,,,,,,,,
331760,6,Captions available,Family Sharing,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
331790,6,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
331870,6,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
331880,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
331920,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
331970,4,Family Sharing,Multi-player,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,
331980,6,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
332150,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
332200,8,Family Sharing,Full controller support,Remote Play on TV,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,,,,,,
332250,7,Family Sharing,Full controller support,Multi-player,Remote Play Together,Shared/Split Screen,Single-player,Steam Achievements,,,,,,,,,,,,,,,,
332260,7,Family Sharing,Multi-player,Partial Controller Support,Remote Play Together,Shared/Split Screen,Single-player,Steam Cloud,,,,,,,,,,,,,,,,
332270,5,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,,,,,,,,,,,,,,,,,,
332300,5,Game demo,Multi-player,Partial Controller Support,Shared/Split Screen,Single-player,,,,,,,,,,,,,,,,,,
332310,14,Co-op,Family Sharing,Full controller support,Multi-player,Online Co-op,Online PvP,PvP,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Shared/Split Screen,Single-player,Steam Achievements,,,,,,,,,
332330,13,Family Sharing,Full controller support,Multi-player,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Shared/Split Screen,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards,,,,,,,,,,
332360,1,Steam Trading Cards,,,,,,,,,,,,,,,,,,,,,,
332370,4,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,
332380,6,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
332390,6,Family Sharing,Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
332400,6,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
332410,6,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,
332470,3,Game demo,Partial Controller Support,Steam Trading Cards,,,,,,,,,,,,,,,,,,,,
332480,8,Family Sharing,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Single-player,Steam Achievements,Steam Trading Cards,,,,,,,,,,,,,,,
