app_id,category_count,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,category_22,category_23
1540,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
1600,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
1610,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
1620,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
1630,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
1640,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
1670,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
1690,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
1700,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
1710,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
1840,1,Steam Workshop,,,,,,,,,,,,,,,,,,,,,,
1900,6,Co-op,Cross-Platform Multiplayer,Family Sharing,Multi-player,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,
1930,10,Co-op,Cross-Platform Multiplayer,Family Sharing,Multi-player,Online Co-op,Online PvP,Partial Controller Support,PvP,Single-player,Steam Trading Cards,,,,,,,,,,,,,
2100,4,Family Sharing,Multi-player,Single-player,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,,,,
2120,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
2200,7,Family Sharing,LAN PvP,Multi-player,Online PvP,PvP,Single-player,Steam Cloud,,,,,,,,,,,,,,,,
2210,4,Family Sharing,Multi-player,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,
2270,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
