app_id,tag_count,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20
630,20,Action,Adventure,Aliens,Class-Based,Co-op,Free to Play,Moddable,Multiplayer,Online Co-Op,PvE,Sci-fi,Shooter,Singleplayer,Strategy,Survival,Team-Based,Third Person,Third-Person Shooter,Top-Down,Top-Down Shooter
730,20,Action,Co-op,Competitive,Difficult,eSports,Fast-Paced,First-Person,FPS,Military,Moddable,Multiplayer,Online Co-Op,PvP,Realistic,Shooter,Strategy,Tactical,Team-Based,Trading,War
1002,10,2D,2D Fighter,Action,Fighting,Indie,Intentionally Awkward Controls,Martial Arts,Multiplayer,Physics,Singleplayer,,,,,,,,,,
1200,20,Action,Atmospheric,Classic,First-Person,FPS,Historical,Military,Multiplayer,Realistic,Shooter,Simulation,Singleplayer,Strategy,Survival,Tactical,Tanks,Team-Based,Violent,War,World War II
1250,20,3D,Action,Bullet Time,Class-Based,Co-op,Dark Comedy,First-Person,FPS,Gore,Horror,Moddable,Multiplayer,Online Co-Op,Shooter,Singleplayer,Survival,Survival Horror,Team-Based,Violent,Zombies
1300,16,Action,Adventure,Classic,Cyberpunk,Episodic,First-Person,FPS,Futuristic,Gore,Great Soundtrack,Nudity,Old School,Sci-fi,Shooter,Short,Singleplayer,,,,
1313,16,1990's,Action,Boomer Shooter,Classic,Cult Classic,Cyberpunk,First-Person,FPS,Gore,Great Soundtrack,Horror,Multiplayer,Retro,Shooter,Singleplayer,Violent,,,,
1500,20,3D,Abstract,Arcade,Colorful,God Game,Indie,Pixel Graphics,Puzzle,PvE,Real Time Tactics,RTS,Sci-fi,Shoot 'Em Up,Singleplayer,Story Rich,Strategy,Stylized,Surreal,Tactical RPG,Wargame
1510,20,2D,Atmospheric,Cyberpunk,Experimental,Hacking,Immersive Sim,Indie,Perma Death,Programming,Puzzle,Real-Time with Pause,Roguelike,Sci-fi,Simulation,Singleplayer,Story Rich,Strategy,Text-Based,Time Management,Typing
1520,20,2D,Cold War,Difficult,Diplomacy,Immersive Sim,Management,Military,Multiplayer,Political Sim,RTS,Stealth,Strategy,Strategy RPG,Submarine,Tactical RPG,Top-Down,Tower Defense,War,Wargame,World War II
1530,20,3D,Action,Action RTS,Battle Royale,Casual,Combat,Multiplayer,Pixel Graphics,Psychedelic,Puzzle,PvP,Real Time Tactics,Retro,RTS,Sci-fi,Singleplayer,Strategy,Tactical RPG,Top-Down,Tower Defense
1600,20,Action RPG,Cold War,Difficult,Free to Play,Immersive Sim,Military,Multiplayer,Naval,Naval Combat,Parody,Realistic,Sailing,Simulation,Singleplayer,Stealth,Strategy,Submarine,Top-Down,Underwater,War
1610,7,4X,Sci-fi,Singleplayer,Space,Strategy,Turn-Based,Turn-Based Strategy,,,,,,,,,,,,,
