"app_id","genre"
"7940","Action"
"8000","Action"
"8000","Adventure"
"8030","Action"
"8030","Adventure"
"8080","Action"
"8090","Action"
"8100","Action"
"8140","Action"
"8140","Adventure"
"8150","Action"
"8170","Action"
"8170","Strategy"
"8180","Action"
"8190","Action"
"8190","Adventure"
"8310","Adventure"
"8320","Adventure"
"8330","Casual"
"8400","Casual"
"8500","Action"
"8500","Free To Play"
"8500","Massively Multiplayer"
"8500","RPG"
"8500","Strategy"
"8600","Racing"
"8700","Racing"
"8720","Racing"
"8760","Racing"
"8780","Racing"
"8790","Racing"
"8790","Simulation"
"8790","Sports"
"8800","Strategy"
"8820","Strategy"
"8850","Action"
"8870","Action"
"8880","RPG"
"8880","Strategy"
"8890","RPG"
"8890","Strategy"
"8900","RPG"
"8900","Strategy"
"8910","RPG"
"8910","Strategy"
"8930","Strategy"
"8970","Indie"
"8980","Action"
"8980","RPG"
"9010","Action"
"9050","Action"
"9060","Action"
"9120","Action"
"9180","Action"
"9200","Action"
"9300","Action"
"9300","Strategy"
"9310","Strategy"
"9320","Strategy"
"9330","Strategy"
"9340","Action"
"9340","Strategy"
"9350","Strategy"
"9420","Strategy"
"9440","Strategy"
"9450","Strategy"
"9460","Action"
"9480","Action"
"9500","Action"
"9500","Adventure"
"9500","Indie"
"9510","Indie"
"9710","Action"
"9730","Simulation"
"9760","Action"
"9800","Action"
"9800","Adventure"
"9850","Simulation"
"9850","Strategy"
"9880","Free To Play"
"9880","Massively Multiplayer"
"9880","RPG"
"9900","Free To Play"
"9900","Massively Multiplayer"
"9900","RPG"
"9940","Action"
"9940","Adventure"
"9950","Action"
"9950","Adventure"
"9960","Adventure"
"9970","Action"
"9980","Casual"
"10090","Action"
"10100","Adventure"
"10110","Adventure"
"10120","Action"
"10120","Casual"
"10130","Action"
"10140","Sports"
"10150","Action"
"10150","Adventure"
"10180","Action"
"10220","Action"
"10230","Adventure"
"10240","Adventure"
"10250","Simulation"
"10260","Simulation"
"10270","RPG"
"10270","Strategy"
"10460","Action"
"10500","Strategy"
"10520","Sports"
"10620","Strategy"
"10680","Action"
"11000","RPG"
"11020","Racing"
"11040","Adventure"
"11040","RPG"
"11050","Adventure"
"11050","Casual"
"11080","Adventure"
"11090","Adventure"
"11130","Adventure"
"11140","Adventure"
"11150","Adventure"
"11180","Adventure"
"11180","Casual"
"11190","Adventure"
"11190","RPG"
"11200","Action"
"11220","Action"
"11230","Casual"
"11230","Indie"
"11230","Racing"
"11240","Action"
"11240","Indie"
"11240","Strategy"
"11250","Simulation"
"11250","Strategy"
"11260","Simulation"
"11260","Strategy"
"11270","Casual"
"11280","Action"
"11280","Casual"
"11280","Indie"
"11340","Action"
"11340","Indie"
"11370","Adventure"
