"app_id","category"
"1502","Single-player"
"1510","Family Sharing"
"1510","Single-player"
"1520","Co-op"
"1520","Cross-Platform Multiplayer"
"1520","Family Sharing"
"1520","LAN Co-op"
"1520","LAN PvP"
"1520","Multi-player"
"1520","Online Co-op"
"1520","Online PvP"
"1520","PvP"
"1520","Single-player"
"1520","Steam Achievements"
"1522","Game demo"
"1522","Multi-player"
"1522","Single-player"
"1530","Co-op"
"1530","Family Sharing"
"1530","LAN Co-op"
"1530","LAN PvP"
"1530","Multi-player"
"1530","Online Co-op"
"1530","Online PvP"
"1530","PvP"
"1530","Single-player"
"1530","Steam Achievements"
"1540","Game demo"
"1540","Single-player"
"1600","Family Sharing"
"1600","Multi-player"
"1600","Single-player"
"1610","Family Sharing"
"1610","Multi-player"
"1610","Single-player"
"1620","Family Sharing"
"1620","Single-player"
"1630","Co-op"
"1630","Family Sharing"
"1630","Multi-player"
"1630","Single-player"
"1640","Co-op"
"1640","Family Sharing"
"1640","Multi-player"
"1640","Single-player"
"1670","Family Sharing"
"1670","Multi-player"
"1670","Single-player"
"1690","Family Sharing"
"1690","Multi-player"
"1690","Single-player"
"1700","Family Sharing"
"1700","Single-player"
"1710","Game demo"
"1710","Single-player"
"1840","Steam Workshop"
"1900","Co-op"
"1900","Cross-Platform Multiplayer"
"1900","Family Sharing"
"1900","Multi-player"
"1900","Single-player"
"1900","Steam Trading Cards"
"1930","Co-op"
"1930","Cross-Platform Multiplayer"
"1930","Family Sharing"
"1930","Multi-player"
"1930","Online Co-op"
"1930","Online PvP"
"1930","Partial Controller Support"
"1930","PvP"
"1930","Single-player"
"1930","Steam Trading Cards"
"2100","Family Sharing"
"2100","Multi-player"
"2100","Single-player"
"2100","Valve Anti-Cheat enabled"
"2120","Game demo"
"2120","Single-player"
"2200","Family Sharing"
"2200","LAN PvP"
"2200","Multi-player"
"2200","Online PvP"
"2200","PvP"
"2200","Single-player"
"2200","Steam Cloud"
"2210","Family Sharing"
"2210","Multi-player"
"2210","Single-player"
"2210","Steam Cloud"
"2270","Family Sharing"
"2270","Single-player"
"2270","Steam Cloud"
"2310","Co-op"
"2310","Cross-Platform Multiplayer"
"2310","Family Sharing"
"2310","Full controller support"
"2310","Multi-player"
"2310","Online Co-op"
"2310","Online PvP"
"2310","PvP"
"2310","Remote Play Together"
"2310","Shared/Split Screen"
"2310","Shared/Split Screen Co-op"
"2310","Shared/Split Screen PvP"
"2310","Single-player"
"2310","Steam Cloud"
"2320","Co-op"
"2320","Cross-Platform Multiplayer"
"2320","Family Sharing"
"2320","Full controller support"
"2320","Multi-player"
"2320","Online Co-op"
"2320","Online PvP"
"2320","PvP"
"2320","Remote Play Together"
"2320","Shared/Split Screen"
"2320","Shared/Split Screen Co-op"
"2320","Shared/Split Screen PvP"
"2320","Single-player"
"2320","Steam Cloud"
"2320","Steam Trading Cards"
"2360","Family Sharing"
"2360","Single-player"
"2360","Steam Cloud"
"2370","Family Sharing"
"2370","Single-player"
"2370","Steam Cloud"
"2390","Family Sharing"
"2390","Multi-player"
"2390","Single-player"
"2390","Steam Cloud"
"2400","Family Sharing"
"2400","LAN PvP"
"2400","Multi-player"
"2400","Online PvP"
"2400","PvP"
"2400","Single-player"
"2400","Steam Trading Cards"
"2400","Valve Anti-Cheat enabled"
"2420","Family Sharing"
"2420","Single-player"
"2450","Family Sharing"
"2450","Multi-player"
"2450","Single-player"
"2450","Steam Achievements"
"2500","Family Sharing"
"2500","Multi-player"
"2500","Remote Play Together"
"2500","Shared/Split Screen"
"2500","Single-player"
"2500","Steam Trading Cards"
"2510","Game demo"
"2510","Single-player"
"2520","Family Sharing"
"2520","Single-player"
"2540","Co-op"
"2540","Family Sharing"
"2540","Multi-player"
"2540","Single-player"
"2590","Family Sharing"
"2590","Single-player"
"2600","Family Sharing"
"2600","Single-player"
"2610","Family Sharing"
"2610","Single-player"
"2620","Family Sharing"
"2620","Multi-player"
"2620","Single-player"
"2630","Family Sharing"
"2630","Multi-player"
"2630","Single-player"
"2640","Family Sharing"
"2640","Multi-player"
"2640","Single-player"
"2700","Family Sharing"
"2700","Single-player"
"2710","Family Sharing"
"2710","Multi-player"
"2710","Single-player"
"2720","Co-op"
"2720","Family Sharing"
"2720","Includes level editor"
"2720","LAN Co-op"
"2720","LAN PvP"
"2720","Multi-player"
"2720","Online Co-op"
"2720","Online PvP"
"2720","PvP"
"2730","Game demo"
"2730","Multi-player"
"2730","Single-player"
"2800","Captions available"
"2800","Family Sharing"
"2800","Single-player"
"2800","Steam Cloud"
"2810","Captions available"
"2810","Family Sharing"
"2810","Single-player"
"2810","Steam Cloud"
"2820","Captions available"
"2820","Family Sharing"
"2820","Full controller support"
"2820","Single-player"
"2820","Steam Achievements"
"2820","Steam Cloud"
"2840","Family Sharing"
"2840","Single-player"
"2840","Steam Cloud"
"2850","Family Sharing"
"2850","Single-player"
"2850","Steam Cloud"
"2870","Captions available"
"2870","Family Sharing"
"2870","Full controller support"
"2870","Single-player"
"2870","Steam Achievements"
"2870","Steam Cloud"
"2870","Steam Trading Cards"
"2870","Steam Workshop"
"2900","Family Sharing"
"2900","Multi-player"
"2900","Single-player"
"2910","Family Sharing"
"2910","Single-player"
"2920","Co-op"
"2920","Family Sharing"
"2920","Includes level editor"
"2920","Multi-player"
"2920","Single-player"
"2990","Family Sharing"
"2990","LAN PvP"
"2990","Multi-player"
"2990","Online PvP"
"2990","Partial Controller Support"
"2990","PvP"
"2990","Single-player"
"2990","Steam Cloud"
"2990","Steam Trading Cards"
"2990","Steam Workshop"
"3010","Family Sharing"
"3010","Multi-player"
"3010","Single-player"
"3020","Family Sharing"
"3020","Multi-player"
"3020","Single-player"
"3020","Steam Trading Cards"
